2020-01-26 13:48
市,确诊,疑似,治愈,死亡
武汉,618,0,40,45
黄冈,122,0,2,2
孝感,55,0,0,0
咸宁,43,0,0,0
荆门,38,0,0,1
随州,36,0,0,0
荆州,33,0,0,2
黄石,31,0,0,1
宜昌,20,0,0,1
十堰,20,0,0,0
恩施州,17,0,0,0
仙桃,11,0,0,0
天门,5,0,0,0
襄阳,2,0,0,0
鄂州,1,0,0,0
杭州,27,0,0,0
台州,21,0,0,0
温州,18,0,1,0
宁波,13,0,0,0
嘉兴,8,0,0,0
绍兴,5,0,0,0
金华,3,0,0,0
衢州,3,0,0,0
丽水,3,0,0,0
舟山,2,0,0,0
湖州,1,0,0,0
深圳,27,0,2,0
广州,14,0,0,0
佛山,10,0,0,0
珠海,10,0,0,0
惠州,8,0,0,0
阳江,6,0,0,0
湛江,4,0,0,0
肇庆,4,0,0,0
韶关,3,0,0,0
清远,3,0,0,0
揭阳,3,0,0,0
中山,2,0,0,0
东莞,2,0,0,0
汕头,2,0,0,0
信阳,22,0,0,0
郑州,20,0,0,0
南阳,15,0,0,1
驻马店,7,0,0,0
周口,5,0,0,0
新乡,3,0,0,0
安阳市,3,0,0,0
漯河市,3,0,0,0
三门峡,2,0,0,0
平顶山,2,0,0,0
洛阳,1,0,0,0
万州区,13,0,0,0
长寿区,5,0,0,0
忠县,5,0,0,0
大渡口区,4,0,0,0
渝北区,4,0,0,0
开州区,4,0,0,0
云阳县,4,0,0,0
九龙坡区,3,0,0,0
永川区,3,0,0,0
奉节县,3,0,0,0
巫山县,3,0,0,0
巫溪县,3,0,0,0
两江新区,3,0,0,0
石柱县,3,0,0,0
江北区,2,0,0,0
垫江县,2,0,0,0
合川区,2,0,0,0
璧山区,2,0,0,0
铜梁区,1,0,0,0
大足区,1,0,0,0
涪陵区,1,0,0,0
秀山县,1,0,0,0
梁平区,1,0,0,0
城口县,1,0,0,0
丰都县,1,0,0,0
长沙,18,0,0,0
怀化,8,0,0,0
常德,7,0,0,0
岳阳,6,0,0,0
娄底,5,0,0,0
