Wed Jan 29 10:57:47 2020
市,确诊,疑似,治愈,死亡
武汉,1905,0,47,104
黄冈,324,0,2,5
孝感,274,0,0,3
荆门,142,0,0,4
襄阳,131,0,0,0
随州,116,0,0,0
咸宁,112,0,0,0
荆州,101,0,1,2
十堰,88,0,0,0
黄石,86,0,0,1
鄂州,84,0,0,1
宜昌,63,0,0,1
恩施州,51,0,0,0
天门,34,0,0,3
仙桃,32,0,0,0
潜江,8,0,0,1
神农架林区,3,0,0,0
温州,114,0,3,0
杭州,51,0,0,0
台州,40,0,0,0
宁波,20,0,0,0
绍兴,19,0,0,0
嘉兴,14,0,0,0
金华,13,0,0,0
衢州,8,0,0,0
舟山,6,0,0,0
丽水,6,0,0,0
湖州,5,0,0,0
广州,63,0,0,0
深圳,63,0,4,0
佛山,18,0,0,0
珠海,14,0,0,0
惠州,12,0,1,0
中山,12,0,0,0
阳江,10,0,0,0
湛江,7,0,0,0
东莞,7,0,0,0
清远,6,0,0,0
汕头,6,0,0,0
揭阳,6,0,0,0
肇庆,5,0,0,0
韶关,4,0,0,0
梅州,4,0,0,0
茂名,2,0,0,0
汕尾,1,0,0,0
河源,1,0,0,0
长沙,46,0,0,0
岳阳,26,0,0,0
常德,26,0,0,0
邵阳,19,0,0,0
怀化,18,0,0,0
衡阳,17,0,0,0
益阳,14,0,0,0
株洲,13,0,0,0
娄底,13,0,0,0
永州,11,0,0,0
湘潭,8,0,0,0
郴州,7,0,0,0
湘西自治州,3,0,0,0
郑州,40,0,0,0
信阳,32,0,0,0
南阳,31,0,0,1
周口,19,0,0,0
驻马店,16,0,0,0
安阳市,14,0,0,0
商丘,14,0,0,0
漯河市,9,0,0,0
新乡,7,0,0,0
平顶山,5,0,0,0
鹤壁,5,0,0,0
三门峡,4,0,0,0
开封,3,0,0,0
洛阳,2,0,0,0
许昌,2,0,0,0
焦作,2,0,0,0
濮阳,1,0,0,0
合肥,29,0,0,0
阜阳,23,0,0,0
亳州,15,0,0,0
安庆,14,0,0,0
马鞍山,11,0,0,0
芜湖,11,0,0,0
