Thu Jan 30 11:27:29 2020
市,确诊,疑似,治愈,死亡
武汉,2261,0,54,129
黄冈,496,0,5,12
孝感,399,0,0,6
荆门,191,0,0,4
襄阳,163,0,0,0
荆州,151,0,1,3
随州,143,0,0,0
咸宁,130,0,0,0
鄂州,123,0,0,2
十堰,119,0,0,0
宜昌,117,0,0,1
黄石,113,0,0,1
恩施州,66,0,0,0
仙桃,55,0,0,0
天门,44,0,0,3
潜江,10,0,0,1
神农架林区,5,0,0,0
温州,172,0,3,0
杭州,69,0,0,0
台州,64,0,0,0
宁波,41,0,0,0
金华,20,0,0,0
绍兴,19,0,0,0
嘉兴,16,0,0,0
衢州,10,0,0,0
舟山,6,0,0,0
丽水,6,0,1,0
湖州,5,0,0,0
深圳,86,0,4,0
广州,79,0,0,0
佛山,25,0,0,0
珠海,18,0,0,0
惠州,17,0,1,0
中山,16,0,0,0
汕头,12,0,0,0
阳江,10,0,0,0
湛江,9,0,0,0
东莞,7,0,0,0
清远,6,0,0,0
揭阳,6,0,0,0
肇庆,5,0,0,0
梅州,5,0,0,0
韶关,4,0,0,0
茂名,3,0,0,0
汕尾,1,0,0,0
河源,1,0,0,0
江门,1,0,0,0
南阳,51,0,0,1
郑州,46,0,0,0
信阳,42,0,0,0
周口,25,0,0,0
驻马店,25,0,0,0
商丘,18,0,0,0
安阳市,16,0,0,0
新乡,11,0,0,0
漯河市,11,0,0,0
平顶山,8,0,0,0
鹤壁,6,0,0,0
三门峡,5,0,0,0
开封,4,0,0,0
许昌,3,0,0,0
洛阳,2,0,0,0
焦作,2,0,0,0
濮阳,1,0,0,0
滑县,1,0,0,0
长垣县,1,0,0,0
长沙,57,0,0,0
常德,30,0,0,0
岳阳,29,0,0,0
邵阳,29,0,0,0
怀化,23,0,0,0
衡阳,20,0,0,0
株洲,18,0,0,0
益阳,17,0,0,0
娄底,16,0,0,0
永州,14,0,0,0
郴州,10,0,0,0
湘潭,9,0,0,0
湘西自治州,4,0,0,0
张家界,1,0,0,0
合肥,39,0,1,0
阜阳,28,0,0,0
亳州,20,0,1,0
安庆,18,0,0,0
马鞍山,14,0,0,0
芜湖,14,0,0,0
铜陵,10,0,0,0
宿州,10,0,0,0
六安,8,0,0,0
蚌埠,8,0,0,0
黄山,7,0,0,0
淮南,6,0,0,0
宿松,6,0,0,0
滁州,4,0,0,0
宣城,4,0,0,0
池州,2,0,0,0
淮北,2,0,0,0
万州区,24,0,0,0
开州区,13,0,0,0
云阳县,12,0,0,0
忠县,11,0,0,0
两江新区,8,0,0,0
渝北区,7,0,0,0
长寿区,7,0,0,0
石柱县,7,0,0,0
大渡口区,6,0,0,0
江北区,6,0,0,0
合川区,6,0,0,0
九龙坡区,5,0,0,0
垫江县,5,0,0,0
巫山县,5,0,1,0
巫溪县,5,0,0,0
綦江区,4,0,0,0
璧山区,4,0,0,0
奉节县,4,0,0,0
江津区,3,0,0,0
永川区,3,0,0,0
丰都县,3,0,0,0
大足区,2,0,0,0
铜梁区,2,0,0,0
潼南区,2,0,0,0
南岸区,2,0,0,0
渝中区,2,0,0,0
涪陵区,1,0,0,0
巴南区,1,0,0,0
梁平区,1,0,0,0
城口县,1,0,0,0
秀山县,1,0,0,0
黔江区,1,0,0,0
武隆区,1,0,0,0
南昌,46,0,0,0
九江,31,0,0,0
赣州,21,0,0,0
宜春,14,0,0,0
抚州,13,0,0,0
新余,11,0,2,0
上饶,11,0,0,0
萍乡,5,0,1,0
吉安,5,0,1,0
鹰潭,3,0,0,0
景德镇,2,0,0,0
青岛,18,0,1,0
临沂,16,0,0,0
威海,14,0,0,0
济南,14,0,0,0
烟台,13,0,0,0
德州,11,0,0,0
日照,8,0,0,0
济宁,8,0,0,0
枣庄,8,0,0,0
潍坊,7,0,0,0
滨州,7,0,0,0
菏泽,7,0,0,0
淄博,6,0,0,0
聊城,5,0,0,0
泰安,3,0,0,0
成都,59,0,1,1
绵阳,9,0,0,0
广安,9,0,0,0
南充,9,0,0,0
自贡,7,0,0,0
达州,6,0,0,0
泸州,5,0,0,0
甘孜州,5,0,0,0
宜宾,5,0,0,0
遂宁,4,0,0,0
内江,4,0,0,0
巴中,4,0,0,0
德阳,3,0,0,0
广元,3,0,0,0
雅安,2,0,0,0
乐山,2,0,0,0
眉山,2,0,0,0
凉山,2,0,0,0
资阳,2,0,0,0
苏州,24,0,1,0
南京,19,0,0,0
徐州,15,0,0,0
无锡,10,0,0,0
常州,10,0,0,0
南通,9,0,0,0
泰州,9,0,0,0
扬州,8,0,0,0
淮安,7,0,0,0
连云港,6,0,0,0
盐城,6,0,0,0
宿迁,4,0,0,0
镇江,2,0,0,0
海淀,24,0,0,0
朝阳,21,0,0,0
西城,12,0,0,0
外地来京人员,11,0,2,0
丰台,10,0,0,0
大兴,10,0,2,0
昌平,8,0,0,0
通州,8,0,0,0
石景山,2,0,0,0
顺义,2,0,0,0
东城,2,0,0,0
门头沟,1,0,0,0
外地来沪人员,48,0,0,1
浦东,13,0,0,0
静安,8,0,0,0
长宁,5,0,0,0
徐汇,5,0,0,0
奉贤,5,0,0,0
黄浦,4,0,0,0
闵行,3,0,0,0
虹口,2,0,0,0
青浦,2,0,0,0
宝山,2,0,0,0
嘉定,2,0,0,0
松江,1,0,0,0
金山,1,0,0,0
福州,30,0,0,0
泉州,18,0,0,0
莆田,17,0,0,0
三明,10,0,0,0
宁德,8,0,0,0
厦门,7,0,0,0
漳州,7,0,0,0
南平,3,0,0,0
龙岩,1,0,0,0
桂林,18,0,0,0
北海,15,0,0,0
南宁,15,0,0,0
柳州,10,0,0,0
防城港,5,0,1,0
河池,5,0,0,0
梧州,4,0,1,0
百色,2,0,0,0
玉林,2,0,0,0
钦州,1,0,0,0
贺州,1,0,0,0
昆明,21,0,0,0
西双版纳,10,0,0,0
丽江,6,0,0,0
玉溪,6,0,0,0
曲靖,5,0,0,0
保山,5,0,0,0
红河,4,0,0,0
大理,4,0,0,0
昭通,4,0,0,0
普洱,3,0,0,0
德宏,2,0,0,0
沧州,12,0,0,1
石家庄,11,0,0,0
廊坊,9,0,0,0
保定,7,0,0,0
邯郸,6,0,0,0
张家口,6,0,0,0
邢台,5,0,0,0
衡水,4,0,0,0
唐山,3,0,0,0
承德,2,0,0,0
西安,18,0,0,0
安康,10,0,0,0
汉中,6,0,0,0
咸阳,5,0,0,0
铜川,5,0,0,0
宝鸡,4,0,0,0
延安,3,0,0,0
渭南,3,0,0,0
商洛,2,0,0,0
三亚,14,0,0,0
海口,9,0,0,0
万宁,8,0,0,0
儋州,5,0,0,0
澄迈县,2,0,0,1
