Fri Jan 31 17:15:05 2020
市,确诊,疑似,治愈,死亡
武汉,2639,0,75,159
黄冈,573,0,6,12
孝感,541,0,2,9
襄阳,286,0,0,0
随州,228,0,0,0
荆门,227,0,0,5
荆州,221,0,1,3
鄂州,189,0,0,6
黄石,168,0,0,1
宜昌,167,0,0,1
咸宁,166,0,0,0
十堰,150,0,0,0
仙桃,90,0,0,1
恩施州,75,0,0,0
天门,67,0,0,6
潜江,12,0,0,1
神农架林区,7,0,2,0
温州,227,0,7,0
杭州,85,0,0,0
台州,81,0,1,0
宁波,46,0,0,0
金华,27,0,0,0
绍兴,23,0,0,0
嘉兴,16,0,0,0
衢州,12,0,0,0
舟山,7,0,1,0
丽水,7,0,1,0
湖州,6,0,0,0
深圳,134,0,4,0
广州,112,0,1,0
珠海,34,0,1,0
佛山,33,0,0,0
惠州,20,0,1,0
中山,18,0,0,0
东莞,16,0,0,0
汕头,12,0,0,0
湛江,11,0,1,0
阳江,10,0,0,0
肇庆,6,0,0,0
清远,6,0,1,0
揭阳,6,0,0,0
梅州,5,0,0,0
韶关,4,0,0,0
汕尾,3,0,0,0
茂名,3,0,0,0
江门,2,0,0,0
河源,1,0,0,0
南阳,61,0,0,2
郑州,50,0,1,0
信阳,49,0,0,0
周口,36,0,1,0
驻马店,30,0,0,0
商丘,27,0,0,0
安阳,20,0,0,0
新乡,15,0,0,0
漯河,13,0,0,0
平顶山,10,0,0,0
许昌,8,0,0,0
三门峡,6,0,0,0
开封,6,0,0,0
鹤壁,6,0,0,0
永城,4,0,0,0
洛阳,3,0,0,0
濮阳,3,0,0,0
焦作,2,0,0,0
长垣,2,0,0,0
滑县,1,0,0,0
长沙,68,0,1,0
岳阳,37,0,0,0
常德,37,0,0,0
邵阳,36,0,0,0
怀化,26,0,0,0
衡阳,25,0,0,0
娄底,20,0,0,0
益阳,20,0,0,0
株洲,19,0,0,0
永州,16,0,0,0
郴州,12,0,1,0
湘潭,10,0,0,0
湘西自治州,5,0,0,0
张家界,1,0,0,0
南昌,67,0,1,0
九江,42,0,0,0
新余,28,0,2,0
赣州,27,0,0,0
宜春,26,0,0,0
抚州,15,0,0,0
上饶,12,0,1,0
萍乡,8,0,1,0
吉安,8,0,1,0
鹰潭,4,0,0,0
景德镇,3,0,1,0
合肥,50,0,1,0
阜阳,38,0,0,0
亳州,20,0,1,0
安庆,18,0,0,0
蚌埠,15,0,0,0
铜陵,14,0,0,0
马鞍山,14,0,0,0
芜湖,14,0,0,0
宿州,10,0,0,0
六安,9,0,1,0
黄山,9,0,0,0
淮南,6,0,0,0
宿松,6,0,0,0
滁州,4,0,0,0
池州,4,0,0,0
宣城,4,0,0,0
淮北,2,0,0,0
万州区,29,0,0,0
开州区,16,0,0,0
云阳县,15,0,0,0
忠县,12,0,0,0
渝北区,10,0,0,0
巫溪县,10,0,0,0
两江新区,9,0,0,0
长寿区,9,0,0,0
江北区,8,0,0,0
九龙坡区,8,0,0,0
垫江县,8,0,0,0
石柱县,8,0,0,0
大渡口区,6,0,0,0
合川区,6,0,0,0
璧山区,6,0,0,0
巫山县,6,0,1,0
渝中区,6,0,0,0
奉节县,5,0,0,0
綦江区,4,0,0,0
大足区,4,0,0,0
江津区,3,0,0,0
永川区,3,0,0,0
丰都县,3,0,0,0
南岸区,3,0,0,0
铜梁区,2,0,0,0
潼南区,2,0,0,0
梁平区,2,0,0,0
黔江区,2,0,0,0
涪陵区,1,0,0,0
巴南区,1,0,0,0
城口县,1,0,0,0
秀山县,1,0,0,0
武隆区,1,0,0,0
荣昌区,1,0,0,0
临沂,23,0,0,0
青岛,21,0,1,0
威海,19,0,0,0
烟台,18,0,0,0
济南,16,0,0,0
德州,16,0,1,0
日照,9,0,0,0
滨州,9,0,0,0
枣庄,9,0,0,0
淄博,9,0,0,0
潍坊,8,0,0,0
济宁,8,0,0,0
菏泽,8,0,0,0
聊城,7,0,0,0
泰安,4,0,0,0
成都,69,0,1,1
广安,13,0,0,0
绵阳,11,0,0,0
南充,11,0,0,0
自贡,9,0,0,0
达州,8,0,0,0
德阳,7,0,0,0
宜宾,7,0,0,0
内江,6,0,0,0
遂宁,5,0,0,0
泸州,5,0,0,0
甘孜州,5,0,0,0
巴中,5,0,0,0
雅安,3,0,0,0
凉山,3,0,0,0
乐山,2,0,0,0
眉山,2,0,0,0
资阳,2,0,0,0
广元,2,0,0,0
攀枝花,1,0,0,0
阿坝州,1,0,0,0
苏州,32,0,2,0
南京,25,0,0,0
徐州,20,0,0,0
常州,13,0,0,0
无锡,12,0,0,0
泰州,12,0,0,0
南通,10,0,0,0
淮安,10,0,0,0
连云港,9,0,0,0
扬州,8,0,0,0
盐城,8,0,0,0
宿迁,7,0,0,0
镇江,2,0,0,0
海淀区,27,0,0,0
朝阳区,24,0,0,0
大兴区,17,0,2,0
西城区,16,0,0,0
昌平区,12,0,0,0
通州区,12,0,0,0
外地来京人员,11,0,2,0
丰台区,11,0,0,0
东城区,3,0,0,0
石景山区,2,0,0,0
顺义区,2,0,0,0
门头沟区,1,0,0,0
怀柔区,1,0,0,0
外地来沪人员,62,0,5,1
浦东区,25,0,0,0
静安区,8,0,0,0
长宁区,6,0,0,0
徐汇区,5,0,0,0
闵行区,5,0,0,0
奉贤区,5,0,0,0
虹口区,4,0,0,0
黄浦区,4,0,0,0
松江区,3,0,0,0
青浦区,2,0,0,0
宝山区,2,0,0,0
嘉定区,2,0,0,0
杨浦区,1,0,0,0
金山区,1,0,0,0
福州,32,0,0,0
泉州,22,0,0,0
莆田,22,0,0,0
厦门,13,0,0,0
三明,10,0,0,0
宁德,9,0,0,0
漳州,8,0,0,0
南平,3,0,0,0
龙岩,1,0,0,0
桂林,18,0,0,0
北海,17,0,0,0
南宁,16,0,0,0
柳州,11,0,0,0
防城港,7,0,1,0
河池,6,0,0,0
梧州,4,0,1,0
玉林,4,0,0,0
百色,2,0,0,0
钦州,1,0,0,0
贺州,1,0,0,0
西安,32,0,0,0
安康,13,0,0,0
汉中,11,0,0,0
延安,7,0,0,0
咸阳,6,0,0,0
铜川,5,0,0,0
渭南,5,0,0,0
宝鸡,4,0,0,0
商洛,2,0,0,0
榆林,1,0,0,0
韩城,1,0,0,0
昆明,24,0,0,0
西双版纳,12,0,0,0
丽江,6,0,0,0
玉溪,6,0,0,0
保山,6,0,0,0
大理,6,0,0,0
曲靖,5,0,0,0
红河,4,0,1,0
昭通,4,0,0,0
普洱,4,0,0,0
德宏,3,0,0,0
沧州,18,0,0,1
石家庄,11,0,0,0
保定,11,0,0,0
廊坊,9,0,0,0
邯郸,7,0,0,0
邢台,7,0,0,0
唐山,7,0,0,0
张家口,6,0,0,0
衡水,4,0,0,0
承德,2,0,0,0
哈尔滨,18,0,0,0
绥化,12,0,0,2
佳木斯,8,0,0,0
大庆,7,0,0,0
齐齐哈尔,3,0,0,0
七台河,3,0,0,0
牡丹江,2,0,0,0
鸡西,2,0,0,0
大兴安岭,2,0,0,0
双鸭山,1,0,0,0
鹤岗,1,0,0,0
三亚,14,0,1,0
海口,9,0,0,0
万宁,8,0,0,0
儋州,5,0,0,0
琼海,4,0,0,0
陵水,3,0,0,0
澄迈,2,0,0,1
临高,2,0,0,0
东方,1,0,0,0
琼中,1,0,0,0
定安,1,0,0,0
昌江,1,0,0,0
乐东,1,0,0,0
沈阳,10,0,0,0
大连,7,0,1,0
朝阳,5,0,0,0
丹东,5,0,0,0
锦州,5,0,0,0
葫芦岛,4,0,0,0
盘锦,4,0,0,0
本溪,3,0,0,0
铁岭,3,0,0,0
营口,1,0,0,0
辽阳,1,0,0,0
晋中,9,0,0,0
运城,8,0,0,0
大同,5,0,0,0
吕梁,5,0,0,0
太原,4,0,1,0
长治,3,0,0,0
朔州,3,0,0,0
阳泉,1,0,0,0
临汾,1,0,0,0
河北区,8,0,0,0
河东区,5,0,0,0
外地来津人员,4,0,0,0
河西区,3,0,0,0
和平区,3,0,0,0
西青区,2,0,0,0
滨海新区,2,0,0,0
南开区,2,0,0,0
红桥区,2,0,0,0
宁河区,1,0,0,0
六盘水,8,0,0,0
黔南州,4,0,0,0
贵阳,4,0,1,0
遵义,4,0,0,0
铜仁,3,0,0,0
