Sun Feb  2 11:32:49 2020
市,确诊,疑似,治愈,死亡
武汉,4109,0,138,224
黄冈,1002,0,27,15
孝感,749,0,2,14
襄阳,441,0,0,0
随州,384,0,3,3
宜昌,353,0,0,1
荆州,333,0,2,4
荆门,329,0,3,7
鄂州,278,0,0,13
黄石,252,0,1,2
咸宁,246,0,1,0
十堰,212,0,0,0
仙桃,140,0,0,3
恩施州,105,0,1,0
天门,99,0,0,7
潜江,35,0,0,1
神农架林区,7,0,2,0
温州,265,0,10,0
杭州,110,0,2,0
台州,100,0,4,0
宁波,66,0,1,0
金华,34,0,3,0
绍兴,27,0,1,0
嘉兴,19,0,0,0
丽水,14,0,1,0
衢州,13,0,0,0
舟山,7,0,1,0
湖州,6,0,0,0
深圳,196,0,5,0
广州,175,0,3,0
珠海,41,0,1,0
佛山,39,0,1,0
东莞,27,0,0,0
惠州,23,0,1,0
中山,21,0,0,0
湛江,14,0,1,0
汕头,14,0,0,0
阳江,10,0,0,0
肇庆,7,0,1,0
梅州,6,0,0,0
清远,6,0,1,0
揭阳,6,0,0,0
韶关,5,0,0,0
汕尾,4,0,0,0
茂名,3,0,0,0
江门,3,0,0,0
潮州,3,0,0,0
河源,1,0,0,0
信阳,88,0,0,0
南阳,75,0,0,2
郑州,65,0,1,0
驻马店,46,0,0,0
周口,40,0,1,0
商丘,36,0,0,0
安阳,24,0,0,0
新乡,21,0,0,0
漯河,16,0,0,0
平顶山,14,0,0,0
许昌,13,0,0,0
开封,11,0,0,0
鹤壁,8,0,0,0
永城,8,0,0,0
洛阳,7,0,0,0
三门峡,7,0,0,0
焦作,7,0,0,0
濮阳,3,0,0,0
长垣,2,0,0,0
滑县,1,0,0,0
邓州,1,0,0,0
长沙,112,0,2,0
岳阳,53,0,0,0
邵阳,49,0,1,0
常德,42,0,0,0
怀化,31,0,1,0
衡阳,30,0,0,0
娄底,29,0,1,0
益阳,27,0,0,0
株洲,25,0,0,0
永州,22,0,2,0
郴州,18,0,1,0
湘潭,16,0,0,0
湘西自治州,6,0,0,0
张家界,3,0,0,0
合肥,59,0,2,0
阜阳,59,0,0,0
安庆,43,0,0,0
亳州,30,0,2,0
马鞍山,27,0,0,0
蚌埠,26,0,0,0
铜陵,16,0,0,0
芜湖,16,0,0,0
宿州,14,0,0,0
六安,13,0,1,0
