Mon Feb  3 11:23:26 2020
市,确诊,疑似,治愈,死亡
武汉,5142,0,228,265
黄冈,1246,0,32,17
孝感,918,0,2,14
襄阳,548,0,0,0
荆州,499,0,4,6
随州,458,0,3,5
宜昌,392,0,1,1
荆门,345,0,6,11
黄石,334,0,8,2
鄂州,306,0,2,15
咸宁,296,0,1,0
十堰,256,0,1,0
仙桃,169,0,0,3
天门,115,0,0,10
恩施州,111,0,4,0
潜江,35,0,0,1
神农架林区,7,0,2,0
温州,291,0,15,0
杭州,118,0,2,0
台州,109,0,7,0
宁波,75,0,1,0
金华,36,0,6,0
绍兴,30,0,2,0
嘉兴,19,0,0,0
丽水,16,0,1,0
衢州,14,0,0,0
湖州,9,0,0,0
舟山,7,0,2,0
深圳,226,0,5,0
广州,189,0,3,0
珠海,51,0,1,0
佛山,43,0,1,0
东莞,31,0,0,0
惠州,28,0,1,0
中山,25,0,0,0
汕头,17,0,0,0
湛江,14,0,1,0
阳江,10,0,0,0
肇庆,7,0,1,0
梅州,7,0,0,0
清远,6,0,2,0
揭阳,6,0,0,0
韶关,5,0,0,0
汕尾,5,0,0,0
茂名,4,0,0,0
江门,4,0,0,0
潮州,4,0,0,0
河源,1,0,0,0
信阳,99,0,4,0
郑州,72,0,2,0
南阳,70,0,1,2
驻马店,58,0,0,0
周口,47,0,1,0
商丘,42,0,0,0
安阳,28,0,0,0
新乡,25,0,0,0
漯河,20,0,0,0
平顶山,19,0,0,0
许昌,15,0,0,0
邓州,14,0,0,0
开封,11,0,0,0
鹤壁,8,0,0,0
焦作,8,0,0,0
永城,8,0,0,0
洛阳,7,0,0,0
三门峡,7,0,0,0
濮阳,3,0,0,0
长垣,2,0,0,0
济源,2,0,0,0
滑县,1,0,0,0
长沙,125,0,2,0
岳阳,70,0,0,0
邵阳,51,0,1,0
常德,45,0,0,0
娄底,35,0,1,0
怀化,32,0,1,0
衡阳,32,0,3,0
益阳,30,0,0,0
株洲,26,0,1,0
永州,26,0,2,0
郴州,21,0,1,0
湘潭,19,0,3,0
湘西自治州,6,0,1,0
张家界,3,0,0,0
合肥,75,0,2,0
阜阳,65,0,0,0
安庆,47,0,0,0
亳州,39,0,2,0
蚌埠,37,0,0,0
马鞍山,28,0,0,0
宿州,21,0,0,0
六安,20,0,1,0
铜陵,18,0,0,0
芜湖,16,0,1,0
黄山,9,0,0,0
滁州,8,0,0,0
淮北,8,0,0,0
淮南,7,0,0,0
池州,6,0,0,0
宣城,4,0,1,0
南昌,103,0,4,0
九江,64,0,2,0
新余,50,0,3,0
宜春,36,0,1,0
赣州,35,0,1,0
上饶,32,0,4,0
抚州,29,0,0,0
萍乡,18,0,1,0
吉安,13,0,1,0
鹰潭,8,0,0,0
景德镇,3,0,1,0
万州区,49,0,0,1
云阳县,18,0,1,0
开州区,17,0,0,0
江北区,16,0,0,0
忠县,15,0,0,0
九龙坡区,13,0,0,1
渝北区,12,0,0,0
垫江县,12,0,0,0
两江新区,12,0,0,0
长寿区,11,0,0,0
巫溪县,11,0,0,0
石柱县,10,0,0,0
合川区,9,0,0,0
奉节县,9,0,0,0
渝中区,9,0,0,0
璧山区,8,0,0,0
铜梁区,7,0,0,0
巫山县,7,0,3,0
大渡口区,6,0,0,0
南岸区,6,0,0,0
綦江区,5,0,0,0
大足区,5,0,0,0
丰都县,5,0,1,0
荣昌区,4,0,0,0
江津区,3,0,0,0
永川区,3,0,1,0
潼南区,3,0,0,0
梁平区,3,0,0,0
涪陵区,2,0,0,0
巴南区,2,0,0,0
黔江区,2,0,0,0
沙坪坝区,2,0,0,0
城口县,1,0,0,0
秀山县,1,0,1,0
武隆区,1,0,0,0
高新区,1,0,0,0
苏州,44,0,3,0
南京,40,0,2,0
徐州,36,0,0,0
无锡,23,0,0,0
泰州,21,0,0,0
南通,19,0,0,0
淮安,18,0,1,0
常州,15,0,0,0
盐城,15,0,0,0
连云港,14,0,1,0
扬州,14,0,0,0
宿迁,9,0,0,0
镇江,3,0,0,0
成都,77,0,9,1
南充,26,0,0,0
广安,21,0,1,0
绵阳,17,0,1,0
内江,12,0,0,0
巴中,12,0,0,0
达州,11,0,0,0
德阳,10,0,0,0
攀枝花,10,0,0,0
自贡,9,0,0,0
泸州,7,0,0,0
宜宾,7,0,0,0
甘孜州,6,0,0,0
凉山州,6,0,0,0
遂宁,5,0,0,0
雅安,5,0,0,0
广元,5,0,0,0
眉山,3,0,0,0
乐山,2,0,0,0
资阳,2,0,0,0
阿坝州,1,0,0,0
青岛,25,0,1,0
威海,25,0,2,0
临沂,24,0,0,0
济南,22,0,0,0
烟台,22,0,0,0
德州,19,0,1,0
济宁,18,0,1,0
枣庄,15,0,0,0
潍坊,13,0,0,0
日照,12,0,0,0
淄博,12,0,0,0
泰安,11,0,1,0
滨州,10,0,0,0
聊城,9,0,0,0
菏泽,9,0,0,0
外地来沪人员,76,0,5,1
浦东新区,39,0,0,0
宝山区,10,0,0,0
静安区,9,0,0,0
闵行区,9,0,0,0
长宁区,7,0,0,0
徐汇区,7,0,0,0
松江区,7,0,0,0
虹口区,5,0,0,0
黄浦区,5,0,0,0
奉贤区,5,0,0,0
杨浦区,4,0,0,0
普陀区,4,0,0,0
青浦区,2,0,0,0
嘉定区,2,0,0,0
金山区,1,0,0,0
崇明区,1,0,0,0
海淀区,41,0,0,0
朝阳区,35,0,0,0
大兴区,22,0,2,0
西城区,22,0,0,0
丰台区,16,0,0,0
通州区,13,0,0,0
昌平区,12,0,0,0
外地来京人员,11,0,2,0
顺义区,6,0,0,0
石景山区,5,0,0,0
东城区,3,0,0,0
门头沟区,2,0,0,0
房山区,2,0,0,0
怀柔区,1,0,0,0
待明确地区,0,0,5,1
福州,47,0,0,0
莆田,34,0,0,0
泉州,31,0,0,0
厦门,19,0,0,0
漳州,13,0,0,0
宁德,12,0,0,0
三明,11,0,0,0
南平,11,0,0,0
龙岩,1,0,0,0
西安,55,0,0,0
安康,17,0,0,0
汉中,15,0,0,0
咸阳,9,0,0,0
宝鸡,8,0,0,0
延安,7,0,0,0
铜川,7,0,0,0
渭南,6,0,0,0
商洛,2,0,0,0
榆林,1,0,0,0
韩城,1,0,0,0
北海,26,0,0,0
桂林,24,0,0,0
南宁,22,0,0,0
柳州,14,0,0,0
防城港,9,0,1,0
玉林,8,0,0,0
河池,6,0,0,0
梧州,5,0,1,0
贵港,5,0,0,0
贺州,4,0,0,0
百色,2,0,0,0
钦州,2,0,0,0
哈尔滨,45,0,2,0
绥化,16,0,0,2
大庆,11,0,0,0
佳木斯,11,0,0,0
牡丹江,8,0,0,0
双鸭山,7,0,0,0
七台河,7,0,0,0
鸡西,6,0,0,0
齐齐哈尔,3,0,0,0
大兴安岭,2,0,0,0
鹤岗,1,0,0,0
黑河,1,0,0,0
沧州,19,0,0,1
石家庄,16,0,0,0
邢台,14,0,0,0
保定,13,0,2,0
廊坊,12,0,1,0
邯郸,11,0,0,0
唐山,11,0,0,0
张家口,9,0,0,0
衡水,4,0,0,0
承德,2,0,0,0
秦皇岛,2,0,0,0
昆明,31,0,0,0
西双版纳,12,0,0,0
玉溪,11,0,0,0
保山,8,0,0,0
昭通,8,0,0,0
丽江,7,0,0,0
大理,7,0,1,0
曲靖,5,0,1,0
红河,5,0,1,0
普洱,4,0,0,0
德宏,4,0,0,0
楚雄,2,0,0,0
临沧,1,0,0,0
三亚,17,0,4,0
海口,13,0,0,0
万宁,9,0,0,0
儋州,7,0,0,0
琼海,6,0,0,0
陵水,5,0,0,0
临高,4,0,0,0
昌江,3,0,0,0
澄迈,2,0,0,1
东方,1,0,0,0
琼中,1,0,0,0
定安,1,0,0,0
乐东,1,0,0,0
文昌,1,0,0,0
沈阳,17,0,0,0
大连,12,0,1,0
锦州,7,0,0,0
盘锦,6,0,0,0
朝阳,6,0,0,0
丹东,6,0,0,0
葫芦岛,5,0,0,0
本溪,3,0,0,0
阜新,3,0,0,0
铁岭,2,0,0,0
辽阳,2,0,0,0
营口,1,0,0,0
晋中,15,0,0,0
运城,13,0,1,0
大同,9,0,0,0
太原,6,0,1,0
晋城,6,0,0,0
吕梁,5,0,0,0
长治,3,0,0,0
朔州,3,0,0,0
忻州,3,0,0,0
阳泉,2,0,0,0
临汾,1,0,0,0
河北区,9,0,0,0
河东区,9,0,0,0
宝坻区,9,0,0,0
和平区,5,0,0,0
外地来津人员,5,0,0,0
河西区,3,0,0,0
东丽区,3,0,0,0
宁河区,3,0,0,0
滨海新区,2,0,0,0
南开区,2,0,0,0
西青区,2,0,0,0
红桥区,2,0,1,0
兰州,26,0,2,0
天水,8,0,0,0
陇南,4,0,0,0
临夏,3,0,0,0
定西,3,0,1,0
张掖,2,0,0,0
白银,1,0,0,0
金昌,1,0,0,0
平凉,1,0,0,0
甘南,1,0,0,0
庆阳,1,0,0,0
六盘水,9,0,0,0
遵义,8,0,0,0
贵阳,7,0,1,0
铜仁,6,0,1,0
黔南州,5,0,0,0
黔东南州,4,0,0,0
毕节,4,0,0,0
安顺,2,0,0,0
黔西南州,1,0,0,0
鄂尔多斯,9,0,0,0
包头,6,0,0,0
呼和浩特,4,0,0,0
巴彦淖尔,3,0,0,0
乌兰察布,3,0,0,0
呼伦贝尔,2,0,1,0
锡林郭勒盟,2,0,0,0
赤峰,2,0,0,0
兴安盟,1,0,0,0
通辽,1,0,0,0
乌海市,1,0,0,0
银川,19,0,0,0
吴忠,7,0,0,0
中卫,2,0,0,0
固原,2,0,0,0
宁东管委会,1,0,0,0
长春,17,0,1,0
吉林,4,0,0,0
四平市,4,0,0,0
松原,2,0,0,0
延边,2,0,0,0
公主岭,1,0,0,0
通化,1,0,0,0
乌鲁木齐,10,0,0,0
伊犁州,6,0,0,0
第九师,4,0,0,0
吐鲁番,1,0,0,0
第七师,1,0,0,0
第八师,1,0,0,0
阿克苏,1,0,0,0
西宁,12,0,0,0
海北州,1,0,0,0
待明确地区,1,0,0,0
