Tue Feb  4 12:15:39 2020
市,确诊,疑似,治愈,死亡
武汉,6384,0,307,313
黄冈,1422,0,41,19
孝感,1120,0,4,17
随州,641,0,3,6
襄阳,632,0,1,1
荆州,613,0,6,7
宜昌,452,0,2,3
黄石,405,0,9,2
荆门,400,0,9,14
咸宁,348,0,1,0
鄂州,332,0,4,18
十堰,291,0,4,0
仙桃,188,0,0,3
恩施州,123,0,5,0
天门,117,0,0,10
潜江,44,0,0,1
神农架林区,10,0,2,0
温州,340,0,17,0
杭州,132,0,6,0
台州,115,0,11,0
宁波,102,0,1,0
金华,40,0,6,0
绍兴,30,0,3,0
嘉兴,23,0,0,0
丽水,16,0,1,0
衢州,15,0,0,0
湖州,9,0,1,0
舟山,7,0,2,0
深圳,269,0,10,0
广州,216,0,3,0
珠海,64,0,1,0
佛山,46,0,1,0
东莞,37,0,0,0
中山,31,0,3,0
惠州,29,0,1,0
汕头,18,0,0,0
湛江,15,0,1,0
阳江,12,0,0,0
肇庆,10,0,1,0
梅州,9,0,0,0
清远,8,0,2,0
韶关,6,0,1,0
揭阳,6,0,0,0
江门,6,0,0,0
汕尾,5,0,0,0
茂名,5,0,0,0
潮州,4,0,0,0
河源,1,0,0,0
信阳,112,0,6,0
南阳,99,2,1,2
郑州,85,0,6,0
驻马店,72,0,0,0
商丘,60,0,0,0
周口,52,0,1,0
新乡,33,0,0,0
安阳,33,0,0,0
平顶山,28,0,0,0
漯河,23,0,0,0
许昌,19,0,0,0
洛阳,12,0,0,0
开封,12,0,0,0
焦作,12,0,0,0
鹤壁,10,0,0,0
三门峡,7,0,0,0
濮阳,4,0,0,0
济源,2,0,0,0
长沙,148,0,2,0
岳阳,83,0,0,0
邵阳,55,0,1,0
常德,50,0,0,0
娄底,40,0,2,0
怀化,35,0,1,0
衡阳,35,0,4,0
益阳,35,0,1,0
株洲,34,0,1,0
永州,26,0,5,0
郴州,22,0,1,0
湘潭,21,0,3,0
湘西自治州,6,0,1,0
张家界,3,0,0,0
合肥,81,0,5,0
阜阳,79,0,0,0
安庆,55,0,0,0
亳州,48,0,2,0
蚌埠,43,0,0,0
六安,30,0,1,0
马鞍山,28,0,1,0
宿州,23,0,0,0
芜湖,21,0,1,0
铜陵,19,0,1,0
滁州,11,0,1,0
淮北,11,0,0,0
池州,10,0,1,0
黄山,9,0,0,0
淮南,8,0,0,0
宣城,4,0,1,0
南昌,121,0,4,0
九江,78,0,2,0
新余,59,0,3,0
上饶,50,0,4,0
宜春,45,0,2,0
赣州,42,0,1,0
抚州,34,0,0,0
萍乡,20,0,1,0
吉安,15,0,1,0
鹰潭,8,0,0,0
