Wed Feb  5 13:36:30 2020
市,确诊,疑似,治愈,死亡
武汉,8351,0,369,362
黄冈,1645,0,52,25
孝感,1462,0,6,18
襄阳,735,0,7,2
荆州,713,0,9,9
随州,706,0,9,8
黄石,509,0,18,2
宜昌,496,0,9,4
荆门,422,0,16,16
咸宁,384,0,2,0
鄂州,382,0,6,18
十堰,318,0,9,0
仙桃,225,0,0,4
恩施州,138,0,6,0
天门,128,0,0,10
潜江,54,0,0,1
神农架林区,10,0,2,0
温州,364,0,28,0
杭州,141,0,7,0
台州,122,0,11,0
宁波,120,0,4,0
金华,44,0,6,0
绍兴,30,0,3,0
嘉兴,27,0,0,0
丽水,16,0,1,0
衢州,15,0,2,0
湖州,9,0,1,0
舟山,7,0,2,0
深圳,289,0,13,0
广州,237,0,3,0
珠海,69,0,1,0
佛山,49,0,1,0
东莞,44,0,0,0
中山,35,0,3,0
惠州,31,0,1,0
汕头,20,0,3,0
湛江,18,0,1,0
阳江,12,0,0,0
肇庆,11,0,1,0
梅州,10,0,0,0
清远,10,0,2,0
江门,7,0,0,0
韶关,6,0,1,0
揭阳,6,0,0,0
茂名,6,0,0,0
汕尾,5,0,0,0
潮州,4,0,0,0
河源,1,0,0,0
未明确地区,0,0,2,0
信阳,138,0,6,0
南阳,107,2,2,2
郑州,92,0,13,0
驻马店,82,0,0,0
商丘,61,0,0,0
周口,56,0,1,0
新乡,39,0,0,0
安阳,35,0,1,0
平顶山,34,0,0,0
漯河,24,0,0,0
许昌,24,0,0,0
洛阳,17,0,1,0
开封,17,0,1,0
焦作,15,0,0,0
鹤壁,10,0,0,0
三门峡,7,0,0,0
濮阳,4,0,0,0
济源,2,0,0,0
长沙,164,0,6,0
岳阳,89,0,0,0
邵阳,68,0,2,0
常德,56,0,3,0
娄底,45,0,3,0
益阳,40,0,1,0
衡阳,39,0,5,0
株洲,38,0,2,0
怀化,35,0,2,0
永州,30,0,5,0
郴州,24,0,1,0
湘潭,23,0,4,0
湘西自治州,7,0,1,0
张家界,3,0,0,0
南昌,134,0,7,0
九江,86,0,3,0
新余,69,0,4,0
上饶,69,0,5,0
宜春,48,0,3,0
赣州,48,0,1,0
抚州,44,0,1,0
萍乡,22,0,1,0
吉安,15,0,1,0
鹰潭,9,0,0,0
景德镇,4,0,1,0
合肥,93,0,5,0
阜阳,84,0,3,0
亳州,58,0,2,0
安庆,56,0,3,0
蚌埠,48,0,0,0
六安,34,0,1,0
马鞍山,30,0,1,0
宿州,24,0,0,0
芜湖,23,0,1,0
铜陵,19,0,1,0
淮北,14,0,0,0
淮南,12,0,0,0
滁州,11,0,1,0
池州,11,0,1,0
黄山,9,0,0,0
宣城,4,0,1,0
万州区,65,0,1,1
九龙坡区,19,0,0,1
开州区,18,0,0,0
云阳县,18,0,2,0
江北区,16,0,0,0
渝中区,16,0,0,0
忠县,15,0,1,0
垫江县,15,0,1,0
两江新区,14,0,0,0
渝北区,12,0,0,0
长寿区,12,0,0,0
石柱县,12,0,0,0
綦江区,12,0,0,0
巫溪县,11,0,1,0
合川区,9,0,0,0
奉节县,9,0,1,0
璧山区,8,0,0,0
巫山县,8,0,4,0
南岸区,8,0,0,0
荣昌区,8,0,0,0
大渡口区,7,0,0,0
大足区,7,0,0,0
铜梁区,7,0,0,0
潼南区,7,0,0,0
丰都县,6,0,1,0
巴南区,3,0,0,0
江津区,3,0,0,0
永川区,3,0,1,0
梁平区,3,0,0,0
涪陵区,3,0,0,0
城口县,2,0,0,0
黔江区,2,0,0,0
沙坪坝区,2,0,0,0
彭水县,2,0,0,0
高新区,2,0,0,0
秀山县,1,0,1,0
武隆区,1,0,0,0
苏州,55,0,3,0
南京,47,0,4,0
徐州,45,0,0,0
无锡,26,0,1,0
泰州,26,0,1,0
淮安,26,0,1,0
南通,25,0,0,0
常州,24,0,2,0
连云港,20,0,1,0
扬州,15,0,0,0
盐城,15,0,0,0
宿迁,11,0,0,0
镇江,6,0,0,0
成都,92,0,17,1
南充,28,0,0,0
广安,24,0,1,0
绵阳,17,0,2,0
达州,17,0,1,0
内江,15,0,0,0
巴中,15,0,0,0
德阳,12,0,0,0
攀枝花,11,0,0,0
泸州,10,0,0,0
甘孜州,10,0,0,0
自贡,9,0,0,0
宜宾,7,0,0,0
凉山州,7,0,0,0
广元,6,0,0,0
雅安,6,0,0,0
遂宁,5,0,1,0
眉山,5,0,1,0
乐山,2,0,0,0
资阳,2,0,0,0
阿坝州,1,0,0,0
青岛,34,0,3,0
临沂,30,0,1,0
济南,29,0,0,0
威海,27,0,2,0
烟台,26,0,0,0
济宁,23,0,3,0
德州,19,0,1,0
枣庄,17,0,0,0
潍坊,16,0,0,0
日照,14,0,0,0
淄博,14,0,0,0
泰安,14,0,1,0
聊城,12,0,0,0
菏泽,12,0,0,0
滨州,11,0,2,0
外地来沪人员,84,0,6,1
浦东新区,45,0,0,0
徐汇区,12,0,0,0
宝山区,12,0,0,0
静安区,12,0,0,0
