Thu Feb  6 12:11:28 2020
市,确诊,疑似,治愈,死亡
武汉,10117,0,432,414
孝感,1886,0,9,25
黄冈,1807,0,62,29
随州,834,0,9,9
荆州,801,0,18,10
襄阳,787,0,10,2
黄石,566,0,25,2
宜昌,563,0,9,6
荆门,508,0,21,17
鄂州,423,0,8,18
咸宁,399,0,3,1
十堰,353,0,14,0
仙桃,265,0,0,5
恩施州,144,0,10,0
天门,138,0,1,10
潜江,64,0,0,1
神农架林区,10,0,2,0
待明确地区,0,0,18,0
温州,396,0,28,0
杭州,151,0,15,0
宁波,126,0,6,0
台州,124,0,14,0
金华,47,0,8,0
绍兴,33,0,3,0
嘉兴,30,0,0,0
丽水,16,0,1,0
衢州,15,0,2,0
湖州,9,0,1,0
舟山,7,0,3,0
深圳,314,0,16,0
广州,255,0,12,0
珠海,73,0,4,0
佛山,50,0,1,0
东莞,47,0,1,0
中山,44,0,3,0
惠州,35,0,1,0
汕头,20,0,3,0
湛江,19,0,4,0
阳江,13,0,0,0
肇庆,13,0,1,0
梅州,12,0,0,0
清远,10,0,2,0
江门,9,0,0,0
揭阳,7,0,0,0
韶关,6,0,1,0
茂名,6,0,0,0
汕尾,5,0,0,0
潮州,5,0,0,0
河源,1,0,0,0
信阳,164,0,6,0
南阳,111,0,2,2
郑州,102,0,13,0
驻马店,98,0,2,0
商丘,65,0,3,0
周口,59,0,1,0
平顶山,41,0,0,0
新乡,41,0,2,0
安阳,37,0,1,0
漯河,26,0,1,0
许昌,26,0,0,0
洛阳,21,0,1,0
开封,18,0,1,0
焦作,17,0,1,0
鹤壁,10,0,0,0
三门峡,7,0,0,0
濮阳,5,0,0,0
济源,3,0,0,0
待明确地区,0,0,20,0
长沙,179,0,8,0
岳阳,93,0,2,0
邵阳,74,0,3,0
常德,62,0,3,0
娄底,51,0,3,0
衡阳,43,0,5,0
株洲,41,0,2,0
益阳,41,0,6,0
怀化,36,0,6,0
永州,32,0,8,0
郴州,25,0,2,0
湘潭,24,0,5,0
湘西自治州,7,0,1,0
张家界,3,0,2,0
南昌,149,0,10,0
九江,92,0,4,0
新余,78,0,5,0
上饶,78,0,5,0
宜春,54,0,3,0
赣州,52,0,2,0
抚州,46,0,5,0
萍乡,23,0,1,0
吉安,15,0,1,0
鹰潭,9,0,0,0
景德镇,4,0,1,0
合肥,104,0,5,0
阜阳,95,0,3,0
亳州,66,0,2,0
蚌埠,64,0,0,0
安庆,60,0,3,0
六安,36,0,1,0
马鞍山,30,0,0,0
芜湖,26,0,2,0
宿州,25,0,0,0
铜陵,20,0,1,0
淮北,17,0,0,0
淮南,12,0,2,0
滁州,11,0,2,0
池州,11,0,1,0
黄山,9,0,0,0
宣城,5,0,1,0
万州区,68,0,2,1
九龙坡区,19,0,0,1
云阳县,19,0,2,0
江北区,18,0,0,0
开州区,18,0,0,0
渝中区,17,0,0,0
垫江县,16,0,1,0
忠县,15,0,1,0
两江新区,14,0,0,0
綦江区,13,0,0,0
渝北区,12,0,0,0
长寿区,12,0,0,0
石柱县,12,0,0,0
合川区,11,0,0,0
奉节县,11,0,1,0
巫溪县,11,0,1,0
