Fri Feb  7 13:00:13 2020
市,确诊,疑似,治愈,死亡
武汉,11618,0,535,478
孝感,2141,0,25,25
黄冈,1897,0,68,32
随州,915,0,9,9
荆州,885,0,23,10
襄阳,838,0,29,3
黄石,635,0,31,2
宜昌,610,0,11,7
荆门,553,0,24,17
鄂州,471,0,9,18
咸宁,443,0,6,1
十堰,395,0,24,0
仙桃,307,0,11,5
天门,163,0,1,10
恩施州,157,0,10,0
潜江,74,0,0,1
神农架林区,10,0,2,0
深圳,334,0,22,0
广州,284,0,20,0
珠海,73,0,4,0
佛山,57,0,4,0
东莞,53,0,1,0
中山,46,0,4,0
惠州,39,0,1,0
汕头,22,0,3,0
湛江,19,0,4,0
肇庆,14,0,1,1
阳江,13,0,0,0
梅州,12,0,0,0
江门,11,0,1,0
清远,10,0,2,0
揭阳,7,0,0,0
韶关,6,0,1,0
茂名,6,0,0,0
汕尾,5,0,1,0
潮州,5,0,0,0
河源,2,0,0,0
温州,421,0,36,0
杭州,156,0,15,0
宁波,136,0,9,0
台州,129,0,14,0
金华,48,0,9,0
嘉兴,35,0,1,0
绍兴,34,0,3,0
丽水,16,0,1,0
衢州,15,0,2,0
湖州,9,0,1,0
舟山,7,0,3,0
待明确地区,0,0,4,0
信阳,176,0,11,0
南阳,118,0,3,2
郑州,112,0,13,0
驻马店,106,0,2,0
商丘,72,0,4,0
周口,60,0,1,0
平顶山,46,0,0,0
新乡,41,0,2,0
安阳,40,0,1,0
许昌,28,0,0,0
漯河,26,0,1,0
洛阳,24,0,1,0
开封,20,0,1,0
焦作,18,0,1,0
鹤壁,11,0,0,0
三门峡,7,0,2,0
濮阳,5,0,0,0
济源,4,0,0,0
未知地区,0,0,27,1
长沙,190,0,10,0
岳阳,107,0,4,0
邵阳,83,0,9,0
常德,64,0,14,0
娄底,53,0,4,0
株洲,46,0,7,0
衡阳,43,0,8,0
益阳,43,0,6,0
永州,38,0,8,0
怀化,38,0,7,0
郴州,29,0,4,0
湘潭,25,0,7,0
湘西自治州,8,0,1,0
张家界,5,0,2,0
合肥,115,0,7,0
阜阳,105,0,7,0
蚌埠,88,0,0,0
亳州,72,0,5,0
安庆,66,0,3,0
六安,41,0,1,0
马鞍山,30,0,0,0
芜湖,27,0,2,0
宿州,27,0,0,0
铜陵,22,0,2,0
淮北,22,0,0,0
淮南,14,0,2,0
滁州,11,0,2,0
池州,11,0,1,0
黄山,9,0,0,0
宣城,5,0,2,0
南昌,162,0,14,0
九江,95,0,5,0
新余,87,0,5,0
上饶,86,0,5,0
宜春,62,0,4,0
赣州,59,0,2,0
抚州,56,0,7,0
萍乡,24,0,1,0
吉安,16,0,1,0
鹰潭,10,0,0,0
景德镇,4,0,1,0
万州区,73,0,2,1
九龙坡区,19,0,0,1
云阳县,19,0,3,0
江北区,19,0,0,0
渝中区,19,0,0,0
开州区,18,0,2,0
垫江县,17,0,1,0
忠县,16,0,1,0
合川区,15,0,0,0
两江新区,14,0,0,0
綦江区,14,0,0,0
潼南区,13,0,0,0
渝北区,12,0,2,0
长寿区,12,0,2,0
石柱县,12,0,0,0
奉节县,12,0,1,0
巫溪县,11,0,1,0
丰都县,9,0,1,0
璧山区,8,0,0,0
巫山县,8,0,4,0
南岸区,8,0,0,0
荣昌区,8,0,0,0
大足区,8,0,0,0
大渡口区,7,0,1,0
铜梁区,7,0,0,0
江津区,4,0,0,0
高新区,4,0,0,0
梁平区,4,0,0,0
涪陵区,3,0,0,0
巴南区,3,0,0,0
永川区,3,0,1,0
城口县,2,0,1,0
黔江区,2,0,0,0
沙坪坝区,2,0,0,0
彭水县,2,0,0,0
秀山县,1,0,1,0
武隆区,1,0,0,0
酉阳,1,0,0,0
万盛经开区,1,0,0,0
苏州,69,0,4,0
南京,57,0,13,0
徐州,49,0,3,0
淮安,37,0,2,0
无锡,31,0,1,0
南通,29,0,2,0
常州,29,0,5,0
泰州,29,0,3,0
连云港,24,0,2,0
扬州,17,0,0,0
盐城,16,0,3,0
宿迁,12,0,0,0
镇江,9,0,0,0
青岛,43,0,4,0
济南,39,0,3,0
临沂,35,0,3,0
济宁,35,0,4,0
烟台,31,0,2,0
威海,30,0,5,0
潍坊,27,0,0,0
德州,27,0,2,0
聊城,20,0,0,0
泰安,20,0,1,0
枣庄,19,0,0,0
淄博,15,0,0,0
日照,14,0,2,0
菏泽,13,0,2,0
滨州,11,0,3,0
成都,102,0,25,1
南充,30,0,2,0
广安,27,0,1,0
达州,23,0,4,0
巴中,20,0,0,0
绵阳,19,0,2,0
内江,17,0,0,0
