Sat Feb  8 12:40:37 2020
市,确诊,疑似,治愈,死亡
武汉,13603,0,698,545
孝感,2313,0,38,26
黄冈,2041,0,105,36
随州,953,0,23,9
荆州,941,0,30,11
襄阳,907,0,31,5
黄石,703,0,43,2
宜昌,633,0,24,8
荆门,588,0,36,18
鄂州,569,0,11,20
咸宁,476,0,16,2
十堰,438,0,33,0
仙桃,359,0,14,5
天门,179,0,1,10
恩施州,160,0,13,0
潜江,80,0,1,2
神农架林区,10,0,2,0
深圳,351,0,31,0
广州,298,0,21,0
珠海,82,0,4,0
佛山,60,0,4,0
东莞,56,0,1,0
中山,46,0,6,0
惠州,41,0,1,0
汕头,25,0,3,0
湛江,20,0,4,0
肇庆,14,0,1,1
江门,14,0,1,0
阳江,13,0,1,0
梅州,13,0,4,0
清远,10,0,3,0
揭阳,7,0,1,0
韶关,6,0,1,0
茂名,6,0,1,0
汕尾,5,0,1,0
潮州,5,0,0,0
河源,3,0,0,0
未知,0,0,9,0
温州,438,0,49,0
杭州,162,0,22,0
宁波,141,0,12,0
台州,133,0,17,0
金华,52,0,9,0
嘉兴,37,0,1,0
绍兴,36,0,5,0
丽水,17,0,3,0
衢州,15,0,3,0
湖州,10,0,1,0
舟山,7,0,5,0
信阳,192,0,15,0
南阳,128,0,11,2
郑州,120,0,28,0
驻马店,113,0,5,0
商丘,76,0,5,0
周口,62,0,10,0
平顶山,48,0,1,0
新乡,43,0,4,0
安阳,43,0,2,0
许昌,30,0,2,0
漯河,29,0,4,0
洛阳,25,0,2,0
开封,21,0,1,0
焦作,20,0,1,0
鹤壁,13,0,0,0
三门峡,7,0,2,0
濮阳,7,0,0,0
济源,4,0,0,0
未知地区,0,0,6,2
长沙,196,0,19,0
岳阳,111,0,6,0
邵阳,86,0,11,0
常德,66,0,14,0
娄底,59,0,4,0
株洲,48,0,8,0
益阳,44,0,6,0
衡阳,43,0,11,0
永州,40,0,10,0
怀化,38,0,14,0
郴州,31,0,6,0
湘潭,28,0,7,0
湘西自治州,8,0,1,0
张家界,5,0,2,0
合肥,128,0,9,0
阜阳,113,0,9,0
蚌埠,99,0,1,0
亳州,81,0,5,0
安庆,71,0,6,0
六安,51,0,1,0
马鞍山,31,0,0,0
芜湖,29,0,3,0
宿州,28,0,0,0
铜陵,23,0,5,0
淮北,22,0,0,0
淮南,21,0,2,0
滁州,11,0,2,0
池州,11,0,1,0
黄山,9,0,1,0
宣城,5,0,2,0
南昌,168,0,20,0
九江,97,0,5,0
新余,95,0,8,0
上饶,92,0,5,0
宜春,67,0,5,0
赣州,64,0,2,0
抚州,59,0,7,0
萍乡,24,0,1,0
吉安,17,0,1,0
鹰潭,11,0,0,0
景德镇,4,0,1,0
苏州,72,0,4,0
南京,65,0,15,0
徐州,52,0,3,0
淮安,40,0,2,0
无锡,34,0,1,0
南通,31,0,2,0
常州,31,0,5,0
泰州,30,0,3,0
连云港,27,0,2,0
扬州,17,0,2,0
盐城,17,0,3,0
宿迁,12,0,0,0
镇江,11,0,1,0
万州区,78,0,4,1
江北区,20,0,1,0
云阳县,20,0,5,0
九龙坡区,19,0,0,1
渝中区,19,0,0,0
开州区,18,0,2,0
垫江县,18,0,1,0
合川区,16,0,1,0
忠县,16,0,1,0
两江新区,16,0,0,0
綦江区,15,0,0,0
潼南区,13,0,0,0
奉节县,13,0,1,0
渝北区,12,0,2,0
长寿区,12,0,2,0
石柱县,12,0,0,0
巫溪县,11,0,1,0
大足区,10,0,0,0
丰都县,9,0,1,0
璧山区,8,0,0,0
巫山县,8,0,4,0
南岸区,8,0,0,0
荣昌区,8,0,0,0
大渡口区,7,0,1,0
铜梁区,7,0,0,0
江津区,4,0,1,0
梁平区,4,0,0,0
高新区,4,0,0,0
涪陵区,3,0,0,0
巴南区,3,0,0,0
永川区,3,0,1,0
城口县,2,0,1,0
黔江区,2,0,0,0
沙坪坝区,2,0,0,0
彭水县,2,0,0,0
秀山县,1,0,1,0
武隆区,1,0,0,0
酉阳县,1,0,0,0
万盛经开区,1,0,0,0
青岛,46,0,5,0
济南,42,0,3,0
临沂,38,0,3,0
济宁,38,0,7,0
烟台,34,0,2,0
威海,32,0,5,0
潍坊,29,0,0,0
德州,28,0,2,0
聊城,27,0,1,0
泰安,20,0,1,0
枣庄,19,0,0,0
淄博,15,0,1,0
日照,14,0,2,0
菏泽,14,0,2,0
滨州,11,0,4,0
成都,109,0,31,1
南充,31,0,2,0
广安,28,0,3,0
达州,25,0,4,0
巴中,21,0,1,0
绵阳,20,0,2,0
内江,17,0,1,0
甘孜州,17,0,0,0
德阳,13,0,0,0
泸州,13,0,0,0
攀枝花,12,0,1,0
自贡,9,0,2,0
宜宾,9,0,0,0
凉山州,9,0,0,0
遂宁,6,0,2,0
雅安,6,0,1,0
眉山,6,0,1,0
广元,6,0,0,0
乐山,3,0,0,0
资阳,2,0,0,0
阿坝州,1,0,0,0
朝阳区,53,0,0,0
海淀区,49,0,0,0
西城区,37,0,0,0
大兴区,34,0,2,0
丰台区,26,0,0,0
外地来京人员,25,0,2,0
昌平区,17,0,0,0
通州区,15,0,0,0
房山区,14,0,0,0
石景山区,13,0,0,0
顺义区,9,0,0,0
东城区,8,0,0,0
怀柔区,7,0,0,0
密云区,4,0,0,0
门头沟区,3,0,0,0
延庆区,1,0,0,0
待明确地区,0,0,30,2
哈尔滨,100,0,9,0
绥化,44,0,1,2
双鸭山,36,0,1,2
鸡西,31,0,0,0
齐齐哈尔,27,0,0,0
牡丹江,13,0,1,0
大庆,13,0,0,1
佳木斯,13,0,1,0
七台河,11,0,0,0
鹤岗,3,0,0,0
大兴安岭,2,0,0,0
黑河,2,0,0,0
待明确地区,1,0,0,0
外地来沪人员,94,0,14,1
浦东新区,52,0,6,0
徐汇区,16,0,0,0
宝山区,16,0,0,0
静安区,15,0,2,0
松江区,13,0,0,0
闵行区,12,0,1,0
长宁区,11,0,0,0
奉贤区,9,0,0,0
虹口区,7,0,0,0
杨浦区,7,0,0,0
普陀区,7,0,0,0
青浦区,5,0,1,0
黄浦区,5,0,1,0
嘉定区,5,0,0,0
未知地区,3,0,5,0
金山区,2,0,0,0
崇明区,2,0,0,0
福州,59,0,7,0
莆田,47,0,1,0
泉州,40,0,4,0
厦门,25,0,2,0
宁德,21,0,4,0
漳州,16,0,1,0
南平,14,0,1,0
三明,12,0,0,0
龙岩,5,0,0,0
沧州,28,0,4,1
邯郸,26,0,2,0
石家庄,24,0,3,0
唐山,23,0,2,0
邢台,21,0,1,0
廊坊,20,0,4,0
保定,18,0,8,0
张家口,14,0,1,0
承德,7,0,0,0
衡水,7,0,0,0
秦皇岛,7,0,0,0
西安,88,0,9,0
安康,21,0,1,0
汉中,21,0,0,0
咸阳,16,0,1,0
宝鸡,12,0,2,0
渭南,9,0,0,0
铜川,8,0,3,0
延安,8,0,0,0
商洛,7,0,1,0
榆林,3,0,0,0
韩城,1,0,0,0
杨凌,1,0,0,0
南宁,32,0,0,0
北海,32,0,2,0
桂林,29,0,5,0
柳州,20,0,3,0
防城港,16,0,1,0
河池,15,0,0,0
玉林,9,0,1,0
钦州,8,0,0,0
贵港,7,0,0,0
梧州,5,0,2,0
贺州,4,0,0,0
百色,3,0,0,0
来宾,3,0,0,0
未知,0,0,3,0
昆明,41,0,2,0
西双版纳,15,0,2,0
玉溪,14,0,2,0
大理,11,0,2,0
曲靖,11,0,1,0
昭通,10,0,1,0
保山,9,0,0,0
丽江,7,0,1,0
红河,5,0,1,0
德宏,5,0,0,0
普洱,4,0,0,0
楚雄,4,0,0,0
临沧,1,0,0,0
文山,1,0,0,0
三亚,37,0,8,1
海口,23,0,2,0
万宁,12,0,0,0
儋州,11,0,0,0
澄迈,7,0,0,1
琼海,6,0,0,0
临高,5,0,0,0
昌江,5,0,0,0
陵水,4,0,0,0
东方,3,0,0,0
定安,3,0,0,0
文昌,3,0,0,0
保亭,2,0,0,0
琼中,1,0,0,0
乐东,1,0,0,0
待明确地区,1,0,1,0
晋中,30,0,5,0
运城,17,0,1,0
太原,12,0,1,0
大同,10,0,3,0
晋城,8,0,0,0
吕梁,6,0,3,0
忻州,6,0,0,0
长治,5,0,0,0
阳泉,4,0,0,0
朔州,4,0,1,0
临汾,2,0,1,0
沈阳,25,0,2,0
大连,14,0,3,0
盘锦,11,0,0,0
葫芦岛,9,0,0,0
锦州,8,0,1,0
丹东,7,0,1,0
阜新,7,0,0,0
