Tue Feb 11 17:26:51 2020
市,确诊,疑似,治愈,死亡
武汉,18454,0,1240,748
孝感,2642,0,139,41
黄冈,2332,0,279,52
随州,1095,0,26,12
荆州,1075,0,56,17
襄阳,1063,0,49,12
黄石,835,0,82,5
鄂州,790,0,61,26
宜昌,772,0,52,8
荆门,656,0,69,21
咸宁,515,0,52,5
十堰,505,0,60,1
仙桃,438,0,41,11
天门,261,0,12,10
恩施州,195,0,31,2
潜江,90,0,3,3
神农架林区,10,0,6,0
深圳,375,0,66,0
广州,317,0,49,0
珠海,86,0,4,0
佛山,70,0,15,0
东莞,62,0,7,0
中山,58,0,16,0
惠州,53,0,4,0
汕头,25,0,6,0
湛江,21,0,9,0
江门,20,0,4,0
肇庆,15,0,4,1
阳江,13,0,1,0
梅州,13,0,4,0
茂名,11,0,1,0
清远,10,0,5,0
揭阳,8,0,3,0
韶关,7,0,3,0
汕尾,5,0,1,0
潮州,5,0,0,0
河源,3,0,1,0
待明确地区,0,0,5,0
温州,474,0,99,0
杭州,157,0,48,0
宁波,151,0,18,0
台州,143,0,38,0
金华,53,0,16,0
绍兴,41,0,12,0
嘉兴,40,0,6,0
衢州,21,0,5,0
丽水,17,0,5,0
湖州,10,0,3,0
舟山,10,0,5,0
信阳,228,0,34,0
南阳,136,0,32,2
郑州,132,0,41,0
驻马店,126,0,26,0
商丘,86,0,9,0
周口,65,0,16,0
平顶山,54,0,13,1
新乡,48,0,7,1
安阳,46,0,10,0
许昌,32,0,2,0
漯河,31,0,6,0
洛阳,28,0,2,0
焦作,28,0,3,1
开封,25,0,1,0
鹤壁,18,0,3,0
濮阳,11,0,1,0
三门峡,7,0,3,0
济源,4,0,0,0
待明确地区,0,0,0,2
长沙,219,0,48,0
岳阳,134,0,21,1
邵阳,91,0,22,0
常德,73,0,18,0
娄底,69,0,12,0
株洲,68,0,11,0
益阳,54,0,16,0
衡阳,45,0,16,0
永州,42,0,13,0
怀化,39,0,21,0
郴州,33,0,13,0
湘潭,32,0,11,0
湘西自治州,8,0,6,0
张家界,5,0,3,0
合肥,150,0,15,1
蚌埠,134,0,2,3
阜阳,132,0,17,0
亳州,92,0,7,0
安庆,80,0,15,0
六安,59,0,3,0
宿州,33,0,3,0
马鞍山,32,0,4,0
芜湖,31,0,4,0
铜陵,27,0,7,0
淮北,24,0,5,0
淮南,24,0,6,0
池州,15,0,3,0
滁州,12,0,4,0
黄山,9,0,1,0
宣城,6,0,4,0
南昌,195,0,46,0
上饶,111,0,13,0
新余,110,0,22,0
九江,101,0,13,0
宜春,83,0,10,0
赣州,72,0,7,1
抚州,67,0,9,0
萍乡,26,0,1,0
吉安,19,0,4,0
鹰潭,14,0,1,0
景德镇,5,0,1,0
赣江新区,1,0,0,0
南京,84,0,22,0
苏州,80,0,13,0
徐州,63,0,10,0
淮安,46,0,6,0
无锡,45,0,4,0
连云港,37,0,5,0
南通,35,0,5,0
泰州,34,0,5,0
常州,31,0,6,0
扬州,18,0,6,0
盐城,18,0,3,0
镇江,12,0,2,0
宿迁,12,0,6,0
万州区,100,0,11,1
江北区,25,0,1,0
云阳县,21,0,10,0
九龙坡区,20,0,1,1
垫江县,20,0,1,0
渝中区,20,0,1,0
忠县,19,0,6,0
合川区,18,0,3,0
开州区,18,0,8,0
长寿区,16,0,3,0
两江新区,16,0,0,0
渝北区,15,0,2,0
綦江区,15,0,0,0
奉节县,15,0,2,0
大足区,14,0,1,0
潼南区,14,0,0,0
石柱县,14,0,3,0
巫溪县,12,0,4,0
丰都县,10,0,1,0
巫山县,10,0,4,0
南岸区,9,0,0,0
璧山区,8,0,1,0
铜梁区,8,0,0,0
