Wed Feb 12 21:07:41 2020
市,确诊,疑似,治愈,死亡
武汉,19558,0,1379,820
孝感,2751,0,179,45
黄冈,2398,0,342,54
随州,1129,0,56,12
荆州,1110,0,80,21
襄阳,1088,0,60,12
黄石,874,0,101,6
鄂州,861,0,72,28
宜昌,784,0,62,8
荆门,696,0,84,24
十堰,536,0,70,1
咸宁,525,0,68,6
仙桃,460,0,43,13
天门,293,0,12,10
恩施州,203,0,45,3
潜江,90,0,8,5
神农架林区,10,0,7,0
深圳,386,0,82,0
广州,323,0,71,0
珠海,87,0,21,0
佛山,78,0,17,0
东莞,67,0,7,0
中山,62,0,21,0
惠州,54,0,4,0
汕头,25,0,8,0
湛江,21,0,9,0
江门,21,0,4,0
肇庆,16,0,7,1
阳江,13,0,5,0
梅州,13,0,5,0
茂名,13,0,1,0
清远,12,0,5,0
揭阳,8,0,3,0
韶关,7,0,3,0
汕尾,5,0,1,0
潮州,5,0,0,0
河源,3,0,1,0
信阳,231,0,38,0
南阳,138,0,36,2
郑州,137,0,44,0
驻马店,128,0,31,0
商丘,86,0,14,0
周口,66,0,20,0
平顶山,55,0,15,1
新乡,53,0,7,1
安阳,49,0,10,0
许昌,34,0,3,0
漯河,33,0,6,0
洛阳,29,0,2,0
焦作,28,0,5,1
开封,25,0,2,0
鹤壁,19,0,4,0
濮阳,13,0,1,0
三门峡,7,0,3,0
济源,4,0,0,0
待明确地区,0,0,0,3
温州,481,0,120,0
杭州,159,0,67,0
宁波,153,0,25,0
台州,143,0,46,0
金华,54,0,23,0
嘉兴,42,0,6,0
绍兴,41,0,13,0
衢州,21,0,5,0
丽水,17,0,7,0
舟山,10,0,5,0
湖州,10,0,4,0
长沙,223,0,56,0
岳阳,146,0,42,1
邵阳,94,0,33,1
常德,75,0,24,0
株洲,71,0,12,0
娄底,69,0,18,0
益阳,58,0,22,0
衡阳,45,0,23,0
永州,43,0,18,0
怀化,39,0,21,0
郴州,38,0,15,0
湘潭,32,0,11,0
湘西自治州,8,0,6,0
张家界,5,0,3,0
合肥,157,0,28,1
蚌埠,141,0,2,3
阜阳,138,0,17,0
亳州,97,0,12,0
安庆,80,0,15,0
六安,59,0,3,0
宿州,36,0,8,0
马鞍山,32,0,6,0
芜湖,31,0,4,0
铜陵,27,0,9,0
淮北,24,0,5,0
淮南,24,0,6,0
池州,16,0,3,0
滁州,12,0,4,0
黄山,9,0,1,0
宣城,6,0,4,0
南昌,204,0,53,0
新余,117,0,26,0
上饶,116,0,15,0
九江,105,0,14,0
宜春,88,0,16,0
赣州,72,0,8,1
抚州,68,0,11,0
萍乡,29,0,2,0
吉安,21,0,5,0
鹰潭,18,0,1,0
景德镇,5,0,1,0
赣江新区,1,0,0,0
南京,87,0,22,0
苏州,84,0,16,0
徐州,66,0,16,0
无锡,48,0,9,0
淮安,47,0,6,0
连云港,39,0,5,0
南通,37,0,11,0
常州,36,0,12,0
泰州,36,0,6,0
盐城,21,0,6,0
扬州,18,0,6,0
镇江,12,0,2,0
宿迁,12,0,6,0
万州区,102,0,15,1
江北区,25,0,2,0
云阳县,21,0,11,0
九龙坡区,20,0,1,1
合川区,20,0,3,0
开州区,20,0,11,1
垫江县,20,0,1,0
渝中区,20,0,1,0
忠县,19,0,7,0
綦江区,18,0,0,0
奉节县,17,0,2,0
长寿区,16,0,3,0
两江新区,16,0,2,0
渝北区,15,0,2,0
潼南区,15,0,0,0
大足区,14,0,1,0
石柱县,14,0,3,0
巫溪县,13,0,6,0
丰都县,10,0,1,0
巫山县,10,0,4,0
南岸区,10,0,0,0
璧山区,8,0,1,0
铜梁区,8,0,0,0
荣昌区,8,0,0,0
沙坪坝区,8,0,0,0
大渡口区,7,0,1,0
巴南区,5,0,1,0
永川区,5,0,1,0
江津区,4,0,1,0
梁平区,4,0,2,0
高新区,4,0,0,0
涪陵区,3,0,0,0
城口县,2,0,1,0
黔江区,2,0,2,0
彭水县,2,0,0,0
秀山县,1,0,1,0
武隆区,1,0,0,0
酉阳县,1,0,0,0
万盛经开区,1,0,0,0
青岛,53,0,13,1
济南,47,0,7,0
临沂,45,0,10,0
烟台,43,0,3,0
济宁,42,0,12,0
威海,38,0,9,0
潍坊,38,0,5,0
聊城,38,0,3,0
