Mon Feb 17 12:26:32 2020
市,确诊,疑似,治愈,死亡
武汉,41152,0,3458,1309
孝感,3279,0,449,70
黄冈,2831,0,838,78
荆州,1501,0,305,37
随州,1267,0,140,24
鄂州,1274,0,244,35
襄阳,1155,0,151,20
黄石,983,0,206,15
荆门,915,0,132,33
宜昌,895,0,156,24
咸宁,861,0,181,10
十堰,612,0,126,2
天门,485,0,39,10
仙桃,531,0,107,19
恩施州,249,0,81,4
潜江,182,0,18,6
神农架林区,10,0,8,0
深圳,415,0,131,2
广州,339,0,121,0
东莞,89,0,12,1
佛山,84,0,23,0
珠海,97,0,37,0
中山,66,0,34,0
惠州,58,0,26,0
江门,23,0,3,0
汕头,25,0,13,0
湛江,22,0,11,0
茂名,14,0,3,0
梅州,16,0,7,0
肇庆,17,0,8,1
阳江,13,0,7,0
韶关,10,0,4,0
清远,12,0,7,0
揭阳,8,0,4,0
汕尾,5,0,1,0
潮州,5,0,1,0
河源,4,0,1,0
待明确地区,0,0,19,0
信阳,262,0,74,2
南阳,154,0,57,2
郑州,151,0,72,0
驻马店,138,0,65,0
周口,75,0,29,0
商丘,91,0,46,3
新乡,57,0,16,2
平顶山,58,0,20,1
安阳,51,0,20,0
许昌,38,0,9,0
焦作,32,0,7,1
漯河,34,0,12,0
洛阳,31,0,11,0
开封,26,0,7,0
濮阳,17,0,2,0
鹤壁,19,0,5,0
济源,5,0,0,0
三门峡,7,0,4,0
待明确地区,0,0,0,6
温州,503,0,182,0
宁波,156,0,62,0
杭州,168,0,81,0
台州,146,0,63,0
嘉兴,43,0,11,0
金华,55,0,24,0
绍兴,42,0,18,0
衢州,21,0,9,0
丽水,17,0,11,0
湖州,10,0,4,0
舟山,10,0,5,0
蚌埠,158,0,11,5
合肥,171,0,44,1
阜阳,153,0,33,0
亳州,108,0,35,0
六安,68,0,16,0
安庆,83,0,34,0
宿州,40,0,13,0
马鞍山,36,0,10,0
芜湖,31,0,13,0
铜陵,28,0,10,0
淮北,27,0,10,0
淮南,25,0,8,0
池州,17,0,6,0
黄山,9,0,1,0
滁州,13,0,7,0
宣城,6,0,4,0
待明确地区,0,0,11,0
南昌,228,0,89,0
九江,117,0,22,0
上饶,123,0,35,0
新余,129,0,44,0
宜春,106,0,24,0
赣州,76,0,18,1
抚州,72,0,22,0
萍乡,33,0,5,0
鹰潭,18,0,3,0
吉安,21,0,10,0
景德镇,6,0,3,0
赣江新区,1,0,0,0
长沙,241,0,88,1
岳阳,154,0,54,1
常德,79,0,31,0
株洲,78,0,33,0
娄底,76,0,35,0
邵阳,101,0,64,1
益阳,59,0,27,0
衡阳,48,0,28,0
湘潭,35,0,15,0
郴州,39,0,22,0
永州,43,0,28,0
怀化,40,0,32,0
湘西自治州,8,0,6,0
张家界,5,0,4,0
南京,92,0,32,0
苏州,86,0,26,0
徐州,79,0,28,0
淮安,65,0,21,0
无锡,55,0,19,0
连云港,48,0,13,0
常州,49,0,20,0
南通,40,0,16,0
泰州,37,0,20,0
盐城,27,0,12,0
扬州,23,0,8,0
镇江,12,0,4,0
宿迁,13,0,7,0
哈尔滨,188,0,32,3
双鸭山,50,0,1,2
鸡西,46,0,2,0
齐齐哈尔,42,0,10,1
绥化,46,0,13,4
大庆,20,0,3,1
黑河,14,0,0,0
七台河,16,0,4,0
牡丹江,12,0,1,0
佳木斯,15,0,11,0
鹤岗,5,0,2,0
大兴安岭,2,0,1,0
伊春,1,0,0,0
济南,47,0,11,0
烟台,47,0,13,0
潍坊,44,0,10,0
济宁,52,0,20,0
青岛,57,0,26,1
威海,38,0,9,0
德州,37,0,7,1
聊城,38,0,11,0
泰安,32,0,5,0
淄博,29,0,4,0
枣庄,24,0,4,0
临沂,47,0,32,0
日照,16,0,3,0
滨州,15,0,9,0
菏泽,18,0,13,0
成都,140,0,53,1
甘孜州,57,0,3,0
达州,38,0,6,0
南充,35,0,9,0
巴中,24,0,3,0
广安,30,0,10,0
内江,22,0,5,0
德阳,17,0,0,0
绵阳,22,0,6,0
泸州,19,0,3,0
遂宁,17,0,4,0
凉山州,13,0,5,0
自贡,9,0,2,0
眉山,8,0,2,0
宜宾,11,0,6,0
雅安,7,0,2,0
攀枝花,13,0,10,0
广元,6,0,3,0
乐山,3,0,2,0
资阳,3,0,2,0
阿坝州,1,0,0,0
待明确地区,0,0,0,2
万州区,108,0,35,3
江北区,28,0,3,0
合川区,23,0,6,0
綦江区,23,0,6,0
潼南区,18,0,2,0
垫江县,20,0,6,0
奉节县,20,0,6,0
长寿区,21,0,9,0
南岸区,15,0,3,0
九龙坡区,20,0,8,1
大足区,14,0,3,0
忠县,20,0,10,0
两江新区,17,0,7,0
石柱县,14,0,5,0
云阳县,24,0,16,0
渝中区,20,0,12,0
渝北区,15,0,7,0
丰都县,10,0,3,0
沙坪坝区,8,0,1,0
开州区,20,0,13,1
铜梁区,9,0,3,0
荣昌区,9,0,3,0
巫溪县,13,0,8,0
