Thu Feb 20 11:09:11 2020
市,确诊,疑似,治愈,死亡
武汉,45027,0,5448,1585
孝感,3329,0,673,89
黄冈,2839,0,1149,87
荆州,1510,0,451,40
鄂州,1338,0,350,38
随州,1283,0,308,27
襄阳,1167,0,294,23
黄石,967,0,299,26
宜昌,891,0,231,27
荆门,794,0,201,34
咸宁,766,0,268,10
十堰,641,0,187,2
仙桃,567,0,184,19
天门,473,0,133,12
恩施州,244,0,102,3
潜江,185,0,49,7
神农架林区,10,0,10,0
深圳,416,0,182,2
广州,339,0,148,0
东莞,92,0,24,1
珠海,98,0,45,1
佛山,84,0,33,0
中山,66,0,40,0
惠州,62,0,38,0
江门,23,0,9,0
湛江,22,0,11,0
肇庆,18,0,8,1
茂名,14,0,6,0
汕头,25,0,18,0
梅州,16,0,10,0
韶关,10,0,5,0
阳江,13,0,9,0
揭阳,8,0,4,0
清远,12,0,9,0
汕尾,5,0,2,0
河源,4,0,1,0
潮州,5,0,4,0
待明确地区,0,0,13,0
信阳,269,0,86,2
南阳,155,0,66,2
郑州,156,0,77,0
驻马店,139,0,83,0
周口,76,0,34,0
商丘,91,0,50,3
新乡,57,0,24,3
平顶山,58,0,31,1
安阳,53,0,28,0
许昌,39,0,16,0
焦作,32,0,8,1
漯河,35,0,14,0
洛阳,31,0,13,1
开封,26,0,11,0
鹤壁,19,0,8,0
濮阳,17,0,7,0
济源,5,0,2,0
三门峡,7,0,5,0
待明确地区,0,0,51,6
温州,504,0,228,0
台州,146,0,74,0
宁波,156,0,91,0
杭州,169,0,108,0
嘉兴,45,0,20,0
金华,55,0,33,0
绍兴,42,0,20,0
衢州,21,0,10,0
舟山,10,0,5,0
湖州,10,0,6,0
丽水,17,0,14,0
蚌埠,160,0,40,5
合肥,173,0,75,1
阜阳,155,0,64,0
亳州,108,0,58,0
安庆,83,0,44,0
六安,69,0,30,0
马鞍山,37,0,15,0
宿州,41,0,20,0
铜陵,29,0,12,0
芜湖,33,0,17,0
淮南,27,0,12,0
淮北,27,0,13,0
池州,17,0,7,0
滁州,13,0,7,0
黄山,9,0,6,0
宣城,6,0,4,0
南昌,229,0,133,0
九江,118,0,44,0
上饶,123,0,55,0
宜春,106,0,42,0
新余,130,0,68,0
赣州,76,0,28,1
抚州,72,0,35,0
萍乡,33,0,9,0
鹰潭,18,0,4,0
吉安,22,0,11,0
景德镇,6,0,3,0
赣江新区,1,0,0,0
长沙,242,0,110,2
岳阳,156,0,64,1
株洲,78,0,40,0
邵阳,102,0,71,1
常德,79,0,49,0
娄底,76,0,51,0
益阳,59,0,35,0
湘潭,35,0,17,0
衡阳,48,0,32,0
永州,43,0,30,0
郴州,39,0,29,0
怀化,40,0,38,0
湘西自治州,8,0,7,0
张家界,5,0,5,0
哈尔滨,194,0,48,3
鸡西,46,0,3,0
双鸭山,52,0,8,3
齐齐哈尔,43,0,11,1
绥化,47,0,18,4
大庆,26,0,7,1
牡丹江,14,0,1,0
七台河,17,0,6,0
黑河,14,0,3,0
鹤岗,5,0,2,0
佳木斯,15,0,14,0
伊春,1,0,0,0
大兴安岭,2,0,2,0
成都,141,0,69,1
甘孜州,67,0,8,0
达州,40,0,11,0
南充,38,0,14,0
巴中,24,0,3,0
泸州,24,0,5,0
内江,22,0,6,0
德阳,17,0,1,0
绵阳,22,0,10,0
广安,30,0,19,0
凉山州,13,0,5,0
遂宁,17,0,10,0
攀枝花,16,0,11,0
宜宾,12,0,7,0
自贡,9,0,4,0
眉山,8,0,3,0
雅安,7,0,3,0
广元,6,0,4,0
乐山,3,0,2,0
资阳,3,0,2,0
阿坝州,1,0,1,0
待明确地区,0,0,0,2
南京,93,0,38,0
苏州,87,0,33,0
淮安,66,0,32,0
连云港,48,0,18,0
徐州,79,0,51,0
常州,51,0,27,0
无锡,55,0,33,0
南通,40,0,23,0
泰州,37,0,24,0
扬州,23,0,11,0
盐城,27,0,20,0
宿迁,13,0,7,0
镇江,12,0,8,0
烟台,47,0,15,0
济南,47,0,17,0
青岛,59,0,29,1
潍坊,44,0,15,0
威海,38,0,11,0
德州,37,0,9,2
济宁,52,0,27,0
泰安,33,0,9,1
淄博,29,0,6,0
聊城,38,0,18,0
枣庄,24,0,10,0
日照,16,0,7,0
临沂,49,0,41,0
菏泽,18,0,13,0
