Sun Feb 23 22:27:04 2020
市,确诊,疑似,治愈,死亡
武汉,46201,0,8189,1856
孝感,3443,0,1078,102
黄冈,2904,0,1540,98
鄂州,1379,0,417,40
荆州,1574,0,681,41
随州,1300,0,498,30
襄阳,1173,0,463,28
宜昌,917,0,289,29
荆门,918,0,361,37
黄石,1001,0,468,29
咸宁,836,0,398,11
十堰,667,0,267,2
仙桃,571,0,248,19
监狱系统,253,0,3,0
天门,494,0,232,13
恩施州,251,0,123,3
潜江,191,0,78,8
神农架林区,11,0,10,0
深圳,417,0,237,3
广州,345,0,196,0
东莞,94,0,31,1
佛山,84,0,36,0
珠海,98,0,52,1
中山,66,0,49,0
惠州,62,0,46,0
江门,23,0,9,0
湛江,22,0,14,0
肇庆,19,0,10,1
茂名,14,0,6,0
梅州,16,0,11,0
汕头,25,0,21,0
韶关,10,0,6,0
揭阳,8,0,4,0
阳江,13,0,10,0
汕尾,5,0,2,0
河源,4,0,1,0
清远,12,0,10,0
潮州,5,0,4,0
温州,504,0,292,1
台州,146,0,98,0
宁波,157,0,110,0
杭州,169,0,132,0
省十里丰监狱,36,0,0,0
嘉兴,45,0,25,0
金华,55,0,39,0
绍兴,42,0,28,0
舟山,10,0,5,0
衢州,14,0,10,0
丽水,17,0,14,0
湖州,10,0,7,0
济宁,257,0,31,0
烟台,47,0,19,0
青岛,59,0,34,1
济南,47,0,24,0
德州,37,0,12,2
潍坊,44,0,22,0
威海,38,0,21,0
淄博,30,0,14,0
聊城,38,0,24,0
泰安,35,0,21,1
枣庄,24,0,18,0
日照,16,0,10,0
临沂,49,0,44,0
滨州,15,0,11,0
菏泽,18,0,16,0
信阳,274,0,171,2
郑州,157,0,98,0
南阳,155,0,114,2
周口,76,0,49,0
驻马店,139,0,116,0
商丘,91,0,69,3
安阳,53,0,37,0
平顶山,58,0,42,1
焦作,32,0,17,1
许昌,39,0,26,0
漯河,35,0,22,0
洛阳,31,0,18,1
开封,26,0,16,0
濮阳,17,0,7,0
新乡,57,0,46,3
鹤壁,19,0,11,0
济源,5,0,3,0
三门峡,7,0,6,0
待明确地区,0,0,0,6
合肥,174,0,101,1
蚌埠,160,0,101,5
阜阳,155,0,102,0
亳州,108,0,80,0
六安,69,0,43,0
马鞍山,38,0,19,0
安庆,83,0,65,0
宿州,41,0,26,0
铜陵,29,0,15,0
淮北,27,0,15,0
淮南,27,0,15,0
池州,17,0,10,0
芜湖,33,0,27,0
滁州,13,0,8,0
黄山,9,0,6,0
宣城,6,0,4,0
九江,118,0,51,0
南昌,229,0,178,0
新余,130,0,95,0
上饶,123,0,88,0
宜春,106,0,72,0
赣州,76,0,47,1
抚州,72,0,47,0
萍乡,33,0,13,0
吉安,22,0,11,0
鹰潭,18,0,8,0
景德镇,6,0,3,0
赣江新区,1,0,0,0
长沙,242,0,141,2
岳阳,156,0,91,1
株洲,80,0,50,0
娄底,76,0,54,0
常德,82,0,61,0
湘潭,36,0,21,0
邵阳,102,0,88,1
衡阳,48,0,37,0
郴州,39,0,31,0
益阳,59,0,52,0
永州,43,0,37,0
怀化,40,0,38,0
湘西自治州,8,0,8,0
张家界,5,0,5,0
成都,143,0,78,3
甘孜州,69,0,12,0
达州,41,0,13,0
南充,38,0,20,0
泸州,24,0,8,0
巴中,24,0,10,0
内江,22,0,11,0
德阳,18,0,7,0
广安,30,0,20,0
绵阳,22,0,12,0
遂宁,17,0,10,0
凉山州,13,0,8,0
宜宾,12,0,8,0
雅安,7,0,4,0
自贡,9,0,7,0
眉山,8,0,6,0
乐山,3,0,2,0
资阳,3,0,2,0
攀枝花,16,0,16,0
广元,6,0,6,0
阿坝州,1,0,1,0
哈尔滨,198,0,77,3
双鸭山,52,0,20,3
鸡西,46,0,18,0
齐齐哈尔,43,0,23,1
大庆,26,0,8,1
绥化,47,0,29,4
七台河,17,0,10,0
牡丹江,14,0,7,0
黑河,14,0,9,0
鹤岗,5,0,4,0
伊春,1,0,0,0
佳木斯,15,0,15,0
大兴安岭,2,0,2,0
万州区,118,0,66,4
江北区,28,0,10,0
奉节县,22,0,10,0
潼南区,18,0,6,0
綦江区,23,0,12,0
合川区,23,0,13,0
长寿区,21,0,11,0
垫江县,20,0,10,0
南岸区,15,0,5,0
九龙坡区,20,0,11,1
渝北区,17,0,10,0
两江新区,17,0,10,0
沙坪坝区,8,0,1,0
云阳县,25,0,19,0
铜梁区,10,0,4,0
丰都县,10,0,4,0
渝中区,20,0,15,0
大足区,14,0,9,0
巫溪县,14,0,9,0
开州区,21,0,16,1
石柱县,15,0,11,0
巫山县,10,0,6,0
荣昌区,9,0,5,0
忠县,21,0,18,0
巴南区,6,0,3,0
涪陵区,5,0,2,0
璧山区,9,0,7,0
高新区,4,0,2,0
彭水县,2,0,0,0
大渡口区,7,0,6,0
永川区,5,0,4,0
江津区,4,0,3,0
酉阳县,1,0,0,0
万盛经开区,1,0,0,0
梁平区,4,0,4,0
黔江区,2,0,2,0
城口县,2,0,2,0
武隆区,1,0,1,0
秀山县,1,0,1,0
南京,93,0,52,0
苏州,87,0,50,0
淮安,66,0,40,0
连云港,48,0,22,0
无锡,55,0,39,0
常州,51,0,36,0
徐州,79,0,66,0
泰州,37,0,25,0
南通,40,0,32,0
盐城,27,0,20,0
扬州,23,0,17,0
宿迁,13,0,9,0
镇江,12,0,10,0
海淀区,62,0,0,0
朝阳区,60,0,0,0
