Fri Feb 28 18:17:38 2020
市,确诊,疑似,治愈,死亡
武汉,48137,0,15826,2132
孝感,3517,0,1795,114
黄冈,2904,0,2041,114
鄂州,1389,0,685,43
荆州,1579,0,913,46
随州,1307,0,740,38
宜昌,931,0,429,31
襄阳,1175,0,753,32
荆门,924,0,534,37
黄石,1013,0,653,33
十堰,671,0,389,6
咸宁,836,0,644,11
仙桃,575,0,388,19
天门,496,0,332,13
潜江,198,0,99,9
恩施州,251,0,172,4
神农架林区,11,0,10,0
深圳,417,0,281,3
广州,346,0,240,1
东莞,98,0,55,1
佛山,84,0,47,0
珠海,98,0,63,1
江门,23,0,13,0
中山,66,0,58,0
惠州,62,0,55,0
湛江,22,0,17,0
肇庆,19,0,13,1
茂名,14,0,9,0
梅州,16,0,12,0
阳江,14,0,10,0
汕头,25,0,22,0
揭阳,8,0,5,0
韶关,10,0,9,0
清远,12,0,12,0
汕尾,5,0,5,0
潮州,5,0,5,0
河源,4,0,4,0
济宁,258,0,45,0
济南,47,0,25,0
德州,37,0,17,2
烟台,47,0,30,0
潍坊,44,0,27,0
青岛,60,0,45,1
威海,38,0,28,0
淄博,30,0,21,1
泰安,35,0,26,2
聊城,38,0,33,0
临沂,49,0,45,0
日照,16,0,12,0
滨州,15,0,12,0
枣庄,24,0,22,0
菏泽,18,0,17,0
温州,504,0,405,1
台州,146,0,106,0
省十里丰监狱,36,0,5,0
宁波,157,0,138,0
杭州,169,0,151,0
嘉兴,45,0,34,0
绍兴,42,0,36,0
金华,55,0,50,0
衢州,14,0,11,0
舟山,10,0,7,0
湖州,10,0,9,0
丽水,17,0,17,0
待明确地区,0,0,6,0
成都,143,0,85,3
甘孜州,78,0,23,0
达州,42,0,26,0
南充,39,0,23,0
巴中,24,0,11,0
德阳,18,0,10,0
广安,30,0,23,0
绵阳,22,0,15,0
泸州,24,0,20,0
内江,22,0,18,0
凉山州,13,0,10,0
遂宁,17,0,15,0
宜宾,12,0,10,0
眉山,8,0,6,0
资阳,4,0,2,0
雅安,7,0,6,0
攀枝花,16,0,16,0
自贡,9,0,9,0
广元,6,0,6,0
乐山,3,0,3,0
阿坝州,1,0,1,0
哈尔滨,198,0,85,4
双鸭山,52,0,32,3
鸡西,46,0,29,0
齐齐哈尔,43,0,33,1
大庆,26,0,16,1
绥化,47,0,35,4
黑河,14,0,9,0
牡丹江,14,0,9,0
七台河,17,0,13,0
鹤岗,5,0,4,0
佳木斯,15,0,15,0
大兴安岭,2,0,2,0
伊春,1,0,1,0
长沙,242,0,172,2
岳阳,156,0,113,1
株洲,80,0,62,0
娄底,76,0,60,0
常德,82,0,72,0
衡阳,48,0,38,0
邵阳,102,0,93,1
郴州,39,0,34,0
湘潭,36,0,33,0
永州,44,0,42,0
益阳,59,0,58,0
怀化,40,0,40,0
湘西自治州,8,0,8,0
张家界,5,0,5,0
万州区,118,0,81,4
江北区,28,0,17,0
潼南区,18,0,7,0
綦江区,23,0,13,0
合川区,23,0,15,0
长寿区,22,0,14,0
垫江县,20,0,12,0
九龙坡区,21,0,13,1
南岸区,15,0,8,0
铜梁区,10,0,4,0
沙坪坝区,9,0,3,0
奉节县,22,0,17,0
丰都县,10,0,5,0
云阳县,25,0,21,0
渝北区,17,0,13,0
两江新区,17,0,13,0
大足区,14,0,10,0
忠县,21,0,18,0
渝中区,20,0,17,0
石柱县,15,0,12,0
荣昌区,9,0,6,0
巴南区,6,0,3,0
涪陵区,5,0,2,0
巫溪县,14,0,12,0
巫山县,10,0,8,0
开州区,21,0,19,1
璧山区,9,0,8,0
大渡口区,7,0,6,0
彭水县,2,0,1,0
万盛经开区,1,0,0,0
永川区,5,0,5,0
江津区,4,0,4,0
梁平区,4,0,4,0
高新区,4,0,4,0
黔江区,2,0,2,0
城口县,2,0,2,0
武隆区,1,0,1,0
秀山县,1,0,1,0
酉阳,1,0,1,0
阜阳,155,0,119,0
合肥,174,0,138,1
蚌埠,160,0,136,5
六安,69,0,53,0
亳州,108,0,99,0
宿州,41,0,33,0
马鞍山,38,0,30,0
淮南,27,0,21,0
淮北,27,0,22,0
安庆,83,0,79,0
芜湖,34,0,30,0
池州,17,0,13,0
滁州,13,0,10,0
黄山,9,0,6,0
宣城,6,0,4,0
铜陵,29,0,28,0
朝阳区,70,0,0,0
海淀区,62,0,0,0
西城区,53,0,0,0
丰台区,42,0,3,0
大兴区,39,0,2,0
昌平区,29,0,0,0
外地来京人员,25,0,2,0
通州区,19,0,1,0
房山区,16,0,3,0
石景山区,14,0,1,0
东城区,13,0,1,0
顺义区,10,0,0,0
怀柔区,7,0,0,0
密云区,7,0,0,0
