2020-01-26 13:48
,确诊,疑似,治愈,死亡
全国,2018,2684,49,56
省级行政区,确诊,疑似,治愈,死亡
湖北省,1052,0,42,52
浙江省,104,0,1,0
广东省,98,0,2,0
河南省,83,0,0,1
重庆市,75,0,0,0
湖南省,69,0,0,0
安徽省,60,0,0,0
北京市,54,0,2,0
四川省,44,0,0,0
上海市,40,0,1,1
山东省,39,0,0,0
江西省,36,0,0,0
广西壮族自治区,33,0,0,0
江苏省,31,0,1,0
海南省,22,0,0,0
陕西省,22,0,0,0
辽宁省,19,0,0,0
福建省,18,0,0,0
黑龙江省,15,0,0,1
天津市,13,0,0,0
河北省,13,0,0,1
云南省,11,0,0,0
山西省,9,0,0,0
内蒙古自治区,7,0,0,0
甘肃省,7,0,0,0
贵州省,5,0,0,0
香港,5,0,0,0
澳门,5,0,0,0
宁夏回族自治区,4,0,0,0
吉林省,4,0,0,0
新疆维吾尔自治区,4,0,0,0
台湾,3,0,0,0
青海省,1,0,0,0
