2020-01-28 12:15
,确诊,疑似,治愈,死亡
全国,4535,6973,60,106
省级行政区,确诊,疑似,治愈,死亡
湖北省,2714,0,47,100
广东省,188,0,4,0
浙江省,173,0,1,0
河南省,168,0,0,1
湖南省,143,0,0,0
重庆市,132,0,0,0
安徽省,106,0,0,0
四川省,90,0,0,0
山东省,87,0,0,0
北京市,80,0,2,1
江西省,72,0,2,0
江苏省,70,0,1,0
上海市,66,0,3,1
福建省,59,0,0,0
广西壮族自治区,51,0,0,0
海南省,40,0,0,1
陕西省,35,0,0,0
河北省,33,0,0,1
黑龙江省,30,0,0,1
辽宁省,30,0,0,0
云南省,26,0,0,0
天津市,24,0,0,0
山西省,20,0,0,0
甘肃省,19,0,0,0
内蒙古自治区,13,0,0,0
宁夏回族自治区,11,0,0,0
新疆维吾尔自治区,10,0,0,0
贵州省,9,0,0,0
吉林省,8,0,0,0
香港,8,0,0,0
澳门,7,0,0,0
青海省,6,0,0,0
台湾,5,0,0,0
