Thu Jan 30 11:27:29 2020
,确诊,疑似,治愈,死亡
全国,7736,12167,126,170
省级行政区,确诊,疑似,治愈,死亡
湖北省,4586,0,90,162
浙江省,428,0,4,0
广东省,311,0,6,0
河南省,278,0,2,2
湖南省,277,0,0,0
安徽省,200,0,2,0
重庆市,165,0,1,0
江西省,162,0,4,0
山东省,145,0,1,0
四川省,142,0,1,1
江苏省,129,0,1,0
北京市,111,0,4,1
上海市,101,0,5,1
福建省,101,0,0,0
广西壮族自治区,78,0,2,0
云南省,70,0,0,0
河北省,65,0,0,1
陕西省,56,0,0,0
海南省,43,0,0,1
黑龙江省,43,0,0,1
辽宁省,39,0,1,0
山西省,35,0,1,0
天津市,28,0,0,0
甘肃省,26,0,0,0
内蒙古自治区,16,0,0,0
吉林省,14,0,1,0
新疆维吾尔自治区,14,0,0,0
贵州省,12,0,1,0
宁夏回族自治区,12,0,0,0
香港,10,0,0,0
台湾,8,0,0,0
澳门,7,0,0,0
青海省,6,0,0,0
西藏自治区,1,0,0,0
