Sun Feb  2 11:32:49 2020
,确诊,疑似,治愈,死亡
全国,14411,19544,331,304
省级行政区,确诊,疑似,治愈,死亡
湖北省,9074,0,215,294
浙江省,661,0,23,0
广东省,604,0,14,0
河南省,493,0,4,2
湖南省,463,0,8,0
安徽省,340,0,5,0
江西省,333,0,10,0
重庆市,262,0,3,1
江苏省,236,0,6,0
四川省,231,0,3,1
山东省,225,0,5,0
北京市,183,0,9,1
上海市,177,0,10,1
福建省,144,0,0,0
陕西省,116,0,0,0
广西壮族自治区,111,0,2,0
河北省,104,1,3,1
黑龙江省,95,0,2,2
云南省,93,0,2,0
辽宁省,64,0,1,0
海南省,63,0,1,1
山西省,56,0,1,0
天津市,45,0,0,0
甘肃省,40,0,0,0
贵州省,38,0,2,0
宁夏回族自治区,28,0,0,0
吉林省,23,0,1,0
内蒙古自治区,23,0,1,0
新疆维吾尔自治区,21,0,0,0
香港,14,0,0,0
台湾,10,0,0,0
青海省,9,0,0,0
澳门,7,0,0,0
西藏自治区,1,0,0,0
待明确地区,0,0,0,0
