Mon Feb  3 11:23:26 2020
,确诊,疑似,治愈,死亡
全国,17238,21558,477,361
省级行政区,确诊,疑似,治愈,死亡
湖北省,11177,0,295,350
浙江省,724,0,36,0
广东省,683,0,15,0
河南省,566,0,14,2
湖南省,521,0,16,0
安徽省,408,0,7,0
江西省,391,0,18,0
重庆市,300,0,7,2
江苏省,271,0,7,0
四川省,254,0,12,1
山东省,246,0,6,0
上海市,193,0,10,1
北京市,191,0,9,1
福建省,179,0,0,0
陕西省,128,0,0,0
广西壮族自治区,127,0,2,0
黑龙江省,118,0,2,2
河北省,113,0,3,1
云南省,105,0,3,0
海南省,71,0,4,1
辽宁省,70,0,1,0
山西省,66,0,2,0
天津市,54,0,1,0
甘肃省,51,0,3,0
贵州省,46,0,2,0
内蒙古自治区,34,0,1,0
宁夏回族自治区,31,0,0,0
吉林省,31,0,1,0
新疆维吾尔自治区,24,0,0,0
香港,15,0,0,0
青海省,13,0,0,0
台湾,10,0,0,0
澳门,8,0,0,0
西藏自治区,1,0,0,0
待明确地区,0,19543,0,0
