Thu Feb  6 12:11:28 2020
,确诊,疑似,治愈,死亡
全国,28060,24702,1188,564
省级行政区,确诊,疑似,治愈,死亡
湖北省,19665,0,651,549
浙江省,954,0,81,0
广东省,944,0,49,0
河南省,851,0,54,2
湖南省,711,0,56,0
江西省,600,0,37,0
安徽省,591,0,23,0
重庆市,389,0,15,2
江苏省,373,0,29,0
山东省,343,0,21,0
四川省,321,0,27,1
北京市,274,0,31,1
上海市,254,0,25,1
黑龙江省,227,0,7,3
福建省,215,0,11,0
陕西省,173,0,7,0
广西壮族自治区,168,0,14,0
河北省,157,0,7,1
云南省,128,0,5,0
海南省,100,0,5,1
山西省,90,0,6,0
辽宁省,89,0,4,0
贵州省,69,0,6,1
天津市,69,0,2,1
甘肃省,62,0,6,0
吉林省,59,0,2,0
内蒙古自治区,46,0,4,0
宁夏回族自治区,40,0,1,0
新疆维吾尔自治区,36,0,0,0
香港,21,0,0,1
青海省,18,0,3,0
台湾,11,0,0,0
澳门,10,0,0,0
西藏自治区,1,0,0,0
