Fri Feb  7 13:00:13 2020
,确诊,疑似,治愈,死亡
全国,31212,26359,1551,637
省级行政区,确诊,疑似,治愈,死亡
湖北省,22112,0,818,618
广东省,1018,0,69,1
浙江省,1006,0,98,0
河南省,914,0,70,3
湖南省,772,0,91,0
安徽省,665,0,34,0
江西省,661,0,45,0
重庆市,411,0,24,2
江苏省,408,0,38,0
山东省,379,0,31,0
四川省,344,0,39,1
北京市,297,0,33,1
黑龙江省,277,0,9,3
上海市,269,166,30,1
福建省,224,0,15,0
陕西省,184,0,11,0
广西壮族自治区,172,0,17,0
河北省,171,0,16,1
云南省,135,0,7,0
海南省,114,0,8,2
山西省,96,0,12,0
辽宁省,94,0,5,0
天津市,79,0,2,1
贵州省,77,0,6,1
甘肃省,67,0,9,0
吉林省,65,0,4,1
内蒙古自治区,50,0,4,0
宁夏回族自治区,43,0,1,0
新疆维吾尔自治区,39,0,0,0
香港,24,0,0,1
青海省,18,0,3,0
台湾,16,0,1,0
澳门,10,0,1,0
西藏自治区,1,0,0,0
