Wed Feb 12 21:07:41 2020
,确诊,疑似,治愈,死亡
全国,44763,16067,5034,1115
省级行政区,确诊,疑似,治愈,死亡
湖北省,33366,0,2668,1068
广东省,1219,0,275,1
河南省,1135,0,241,8
浙江省,1131,0,321,0
湖南省,946,0,304,2
安徽省,889,0,127,4
江西省,844,0,152,1
江苏省,543,0,123,0
重庆市,509,0,87,3
山东省,497,0,92,2
四川省,436,0,92,1
黑龙江省,378,0,28,8
北京市,352,0,56,3
上海市,311,0,57,1
福建省,272,0,53,0
河北省,251,0,54,2
陕西省,225,0,43,0
广西壮族自治区,222,0,31,1
海南省,157,0,27,3
云南省,154,0,25,0
贵州省,133,0,18,1
山西省,124,0,33,0
辽宁省,116,0,20,0
天津市,110,0,11,2
甘肃省,86,0,28,2
吉林省,83,0,21,1
内蒙古自治区,60,0,6,0
新疆维吾尔自治区,59,0,3,0
宁夏回族自治区,58,0,24,0
香港,50,0,1,1
台湾,18,0,1,0
青海省,18,0,9,0
澳门,10,0,2,0
西藏自治区,1,0,1,0
