,,
,,
,,
# place,confirmed_cases,suspected,cured,deaths
湖北省,54406,0,0,1457
广东省,1294,0,0,2
河南省,1212,0,0,13
浙江省,1162,0,0,0
安徽省,950,0,0,6
江西省,913,0,0,1
湖南省,1001,0,0,2
江苏省,604,0,0,0
山东省,530,0,0,2
重庆市,537,0,0,5
黑龙江省,425,0,0,11
四川省,470,0,0,1
北京市,375,0,0,4
福建省,285,0,0,0
上海市,326,0,0,1
河北省,291,0,0,3
广西壮族自治区,235,0,0,2
陕西省,232,0,0,0
云南省,168,0,0,0
海南省,162,0,0,4
贵州省,143,0,0,1
辽宁省,119,0,0,1
天津市,121,0,0,3
山西省,127,0,0,0
新疆维吾尔自治区,70,0,0,1
吉林省,88,0,0,1
内蒙古自治区,68,0,0,0
香港,56,0,0,1
甘肃省,90,0,0,2
宁夏回族自治区,70,0,0,0
台湾,18,0,0,0
澳门,10,0,0,0
青海省,18,0,0,0
西藏自治区,1,0,0,0
