Sun Feb 16 14:08:49 2020
,确诊,疑似,治愈,死亡
全国,68584,8228,9545,1666
省级行政区,确诊,疑似,治愈,死亡
湖北省,56249,0,5623,1596
广东省,1316,0,444,2
河南省,1231,0,421,13
浙江省,1167,0,441,0
安徽省,962,0,249,6
江西省,925,0,239,1
湖南省,1004,0,449,3
江苏省,617,0,207,0
山东省,537,0,164,2
黑龙江省,445,0,73,11
重庆市,544,0,184,5
四川省,481,0,130,3
北京市,380,0,105,4
福建省,287,0,77,0
河北省,300,0,101,3
广西壮族自治区,237,0,46,2
上海市,328,0,140,1
陕西省,236,0,64,0
云南省,169,0,42,0
海南省,162,0,39,4
贵州省,144,0,41,1
辽宁省,120,0,35,1
天津市,122,0,37,3
山西省,128,0,46,0
内蒙古自治区,70,0,7,0
吉林省,89,0,28,1
新疆维吾尔自治区,71,0,11,1
香港,56,0,1,1
甘肃省,90,0,49,2
宁夏回族自治区,70,0,33,0
台湾,18,0,2,0
澳门,10,0,3,0
青海省,18,0,13,0
西藏自治区,1,0,1,0
