Mon Feb 17 12:26:32 2020
,确诊,疑似,治愈,死亡
全国,70637,7264,10881,1773
省级行政区,确诊,疑似,治愈,死亡
湖北省,58182,0,6639,1696
广东省,1322,0,473,4
河南省,1246,0,456,17
浙江省,1171,0,470,0
安徽省,973,0,266,6
江西省,930,0,275,1
湖南省,1006,0,467,3
江苏省,626,0,226,0
黑龙江省,457,0,80,11
山东省,541,0,177,2
四川省,495,0,136,3
重庆市,551,0,207,5
北京市,381,0,114,4
福建省,290,0,84,0
上海市,331,0,140,1
河北省,301,0,109,3
广西壮族自治区,238,0,51,2
陕西省,240,0,74,0
云南省,171,0,42,0
海南省,162,0,52,4
贵州省,146,0,47,1
辽宁省,121,0,41,1
山西省,129,0,50,0
天津市,125,0,45,3
内蒙古自治区,72,0,8,0
新疆维吾尔自治区,75,0,12,1
吉林省,89,0,30,1
香港,57,0,2,1
宁夏回族自治区,70,0,33,0
甘肃省,90,0,54,2
台湾,20,0,2,1
澳门,10,0,5,0
青海省,18,0,13,0
西藏自治区,1,0,1,0
