Fri Feb 21 17:12:57 2020
,确诊,疑似,治愈,死亡
全国,75571,5206,18385,2239
省级行政区,确诊,疑似,治愈,死亡
湖北省,62662,0,11788,2144
广东省,1333,0,666,5
浙江省,1203,0,654,1
河南省,1267,0,717,19
安徽省,988,0,514,6
山东省,749,0,278,4
江西省,934,0,489,1
湖南省,1011,0,654,4
黑龙江省,479,0,148,12
四川省,525,0,222,3
江苏省,631,0,367,0
重庆市,567,0,299,6
北京市,396,0,169,4
福建省,293,0,134,1
广西壮族自治区,246,0,95,2
河北省,308,0,172,5
陕西省,245,0,117,1
上海市,334,0,211,2
云南省,174,0,96,2
海南省,168,0,89,4
天津市,132,0,59,3
贵州省,146,0,76,2
香港,68,0,5,2
辽宁省,121,0,61,1
内蒙古自治区,75,0,17,0
山西省,132,0,76,0
新疆维吾尔自治区,76,0,22,1
吉林省,91,0,44,1
宁夏回族自治区,71,0,48,0
台湾,26,0,2,1
甘肃省,91,0,71,2
澳门,10,0,6,0
青海省,18,0,18,0
西藏自治区,1,0,1,0
