2020-01-27 15:14
,确诊,疑似,治愈,死亡
全国,2819,5794,53,81
省级行政区,确诊,疑似,治愈,死亡
湖北省,1423,0,45,76
广东省,146,0,2,0
浙江省,128,0,1,0
河南省,128,0,0,1
重庆市,110,0,0,0
湖南省,100,0,0,0
山东省,75,0,0,0
安徽省,70,0,0,0
四川省,69,0,0,0
北京市,68,0,2,0
福建省,56,0,0,0
上海市,53,0,1,1
江西省,48,0,1,0
江苏省,47,0,1,0
广西壮族自治区,46,0,0,0
陕西省,35,0,0,0
海南省,31,0,0,1
辽宁省,24,0,0,0
黑龙江省,21,0,0,1
云南省,19,0,0,0
天津市,18,0,0,0
河北省,18,0,0,1
甘肃省,14,0,0,0
山西省,13,0,0,0
内蒙古自治区,11,0,0,0
香港,8,0,0,0
贵州省,7,0,0,0
宁夏回族自治区,7,0,0,0
吉林省,6,0,0,0
澳门,6,0,0,0
台湾,5,0,0,0
新疆维吾尔自治区,5,0,0,0
青海省,4,0,0,0
