Wed Jan 29 10:57:47 2020
,确诊,疑似,治愈,死亡
全国,5999,9239,104,132
省级行政区,确诊,疑似,治愈,死亡
湖北省,3554,0,80,125
浙江省,296,0,3,0
广东省,241,0,5,0
湖南省,221,0,0,0
河南省,206,0,1,2
安徽省,152,0,0,0
重庆市,147,0,1,0
山东省,121,0,0,0
江西省,109,0,3,0
四川省,108,0,0,0
江苏省,99,0,1,0
北京市,91,0,4,1
福建省,82,0,0,0
上海市,80,0,4,1
广西壮族自治区,58,0,2,0
河北省,48,0,0,1
陕西省,46,0,0,0
云南省,44,0,0,0
海南省,43,0,0,1
黑龙江省,37,0,0,1
辽宁省,36,0,0,0
山西省,27,0,0,0
天津市,25,0,0,0
甘肃省,24,0,0,0
内蒙古自治区,16,0,0,0
新疆维吾尔自治区,13,0,0,0
宁夏回族自治区,12,0,0,0
贵州省,9,0,0,0
吉林省,9,0,0,0
台湾,8,0,0,0
香港,8,0,0,0
澳门,7,0,0,0
青海省,6,0,0,0
西藏自治区,0,1,0,0
