Fri Jan 31 17:15:05 2020
,确诊,疑似,治愈,死亡
全国,9810,15238,180,213
省级行政区,确诊,疑似,治愈,死亡
湖北省,5806,0,116,204
浙江省,537,0,10,0
广东省,436,0,10,0
河南省,352,0,3,2
湖南省,332,0,2,0
江西省,240,0,7,0
安徽省,237,0,3,0
重庆市,211,0,1,0
山东省,184,0,2,0
四川省,177,0,1,1
江苏省,168,0,2,0
北京市,139,0,5,1
上海市,135,0,9,1
福建省,120,0,0,0
广西壮族自治区,87,0,2,0
陕西省,87,0,0,0
云南省,83,0,1,0
河北省,82,0,0,1
黑龙江省,59,0,0,2
海南省,52,0,1,1
辽宁省,48,0,1,0
山西省,39,0,1,0
天津市,32,0,0,0
贵州省,29,0,1,0
甘肃省,29,0,0,0
宁夏回族自治区,21,0,0,0
内蒙古自治区,20,0,0,0
新疆维吾尔自治区,17,0,0,0
吉林省,14,0,1,0
香港,12,0,0,0
台湾,9,0,0,0
青海省,8,0,0,0
澳门,7,0,0,0
西藏自治区,1,0,0,0
