Tue Feb  4 12:15:39 2020
,确诊,疑似,治愈,死亡
全国,20471,23214,637,426
省级行政区,确诊,疑似,治愈,死亡
湖北省,13522,0,398,414
浙江省,829,0,48,0
广东省,797,0,24,0
河南省,675,2,20,2
湖南省,593,0,22,0
安徽省,480,0,14,0
江西省,476,0,19,0
重庆市,337,0,9,2
江苏省,308,0,8,0
四川省,282,0,14,1
山东省,270,0,7,0
北京市,212,0,12,1
上海市,208,0,12,1
福建省,194,0,1,0
黑龙江省,155,0,2,2
陕西省,142,0,1,0
广西壮族自治区,139,0,7,0
河北省,126,0,3,1
云南省,117,0,5,0
海南省,79,0,4,1
辽宁省,74,0,1,0
山西省,74,0,2,0
天津市,60,0,1,0
贵州省,56,0,2,0
甘肃省,55,0,3,0
吉林省,42,0,1,0
内蒙古自治区,35,0,1,0
宁夏回族自治区,34,0,1,0
新疆维吾尔自治区,29,0,0,0
香港,15,0,0,1
青海省,15,0,0,0
台湾,10,0,0,0
澳门,8,0,0,0
西藏自治区,1,0,0,0
