Wed Feb  5 13:36:30 2020
,确诊,疑似,治愈,死亡
全国,24363,23260,897,492
省级行政区,确诊,疑似,治愈,死亡
湖北省,16678,0,520,479
浙江省,895,0,65,0
广东省,870,0,32,0
河南省,764,0,41,2
湖南省,661,0,35,0
江西省,548,0,27,0
安徽省,530,0,20,0
重庆市,366,0,14,2
江苏省,341,0,13,0
四川省,301,0,23,1
山东省,298,0,13,0
上海市,233,0,12,1
北京市,228,0,23,1
福建省,205,0,7,0
黑龙江省,190,0,4,2
陕西省,165,0,2,0
广西壮族自治区,150,0,10,0
河北省,135,0,4,1
云南省,122,0,5,0
海南省,91,0,4,1
辽宁省,81,0,2,0
山西省,81,0,4,0
天津市,69,0,2,1
贵州省,64,0,5,0
甘肃省,57,0,4,0
吉林省,54,0,1,0
内蒙古自治区,42,0,1,0
宁夏回族自治区,34,0,1,0
新疆维吾尔自治区,32,0,0,0
香港,18,0,0,1
青海省,17,0,3,0
台湾,11,0,0,0
澳门,10,0,0,0
西藏自治区,1,0,0,0
