,,
,,
,,
# place,confirmed_cases,suspected,cured,deaths
湖北省,29631,0,0,871
广东省,1151,0,0,1
浙江省,1092,0,0,0
河南省,1073,0,0,6
湖南省,879,0,0,1
安徽省,830,0,0,3
江西省,771,0,0,1
江苏省,492,0,0,0
重庆市,468,0,0,2
山东省,459,0,0,1
四川省,405,0,0,1
北京市,337,0,0,2
黑龙江省,331,0,0,7
上海市,299,0,0,1
福建省,261,0,0,0
河北省,218,0,0,2
陕西省,213,0,0,0
广西壮族自治区,210,0,0,1
云南省,141,0,0,0
海南省,136,0,0,3
山西省,119,0,0,0
贵州省,109,0,0,1
辽宁省,107,0,0,0
天津市,94,0,0,1
甘肃省,83,0,0,2
吉林省,80,0,0,1
内蒙古自治区,58,0,0,0
宁夏回族自治区,49,0,0,0
新疆维吾尔自治区,49,0,0,0
香港,36,0,0,1
台湾,18,0,0,0
青海省,18,0,0,0
澳门,10,0,0,0
西藏自治区,1,0,0,0
