Thu Feb 20 11:09:11 2020
,确诊,疑似,治愈,死亡
全国,74675,4922,16169,2121
省级行政区,确诊,疑似,治愈,死亡
湖北省,62031,0,10337,2029
广东省,1332,0,619,5
河南省,1265,0,614,19
浙江省,1175,0,609,0
安徽省,987,0,424,6
江西省,934,0,432,1
湖南省,1010,0,578,4
黑龙江省,476,0,123,12
四川省,520,0,198,3
江苏省,631,0,325,0
山东省,546,0,238,4
重庆市,560,0,274,5
北京市,395,0,153,4
福建省,293,0,112,1
广西壮族自治区,245,0,87,2
河北省,307,0,152,5
上海市,333,0,186,2
陕西省,245,0,105,1
云南省,172,0,60,1
海南省,168,0,84,4
贵州省,146,0,71,2
天津市,130,0,54,3
内蒙古自治区,75,0,11,0
山西省,131,0,68,0
辽宁省,121,0,58,1
香港,65,0,5,2
新疆维吾尔自治区,76,0,20,1
吉林省,91,0,40,1
宁夏回族自治区,71,0,42,0
甘肃省,91,0,65,2
台湾,24,0,2,1
澳门,10,0,6,0
青海省,18,0,16,0
西藏自治区,1,0,1,0
