Tue Feb 25 11:54:40 2020
,确诊,疑似,治愈,死亡
全国,77779,2824,27414,2666
省级行政区,确诊,疑似,治愈,死亡
湖北省,64786,0,18877,2563
广东省,1347,0,805,7
浙江省,1205,0,794,1
山东省,755,0,343,6
安徽省,989,0,694,6
河南省,1271,0,989,19
湖南省,1016,0,751,4
江西省,934,0,682,1
四川省,529,0,281,3
黑龙江省,480,0,241,12
重庆市,576,0,349,6
北京市,400,0,215,4
江苏省,631,0,458,0
广西壮族自治区,252,0,131,2
福建省,294,0,193,1
陕西省,245,0,175,1
上海市,335,0,268,3
河北省,311,0,241,6
香港,81,0,19,2
云南省,174,0,124,2
天津市,135,0,87,3
新疆维吾尔自治区,76,0,30,2
贵州省,146,0,103,2
海南省,168,0,122,5
内蒙古自治区,75,0,34,0
山西省,133,0,94,0
辽宁省,121,0,83,1
吉林省,93,0,60,1
台湾,30,0,5,1
宁夏回族自治区,71,0,61,0
甘肃省,91,0,80,2
澳门,10,0,6,0
青海省,18,0,18,0
西藏自治区,1,0,1,0
