Wed Feb 26 14:12:17 2020
,确诊,疑似,治愈,死亡
全国,78190,2491,29869,2718
省级行政区,确诊,疑似,治愈,死亡
湖北省,65187,0,20935,2615
广东省,1347,0,843,7
山东省,756,0,358,6
浙江省,1205,0,822,1
安徽省,989,0,741,6
四川省,531,0,295,3
湖南省,1016,0,782,4
河南省,1271,0,1025,19
黑龙江省,480,0,248,12
江西省,934,0,719,1
重庆市,576,0,372,6
江苏省,631,0,469,0
北京市,400,0,235,4
广西壮族自治区,252,0,138,2
福建省,294,0,205,1
香港,85,0,18,2
上海市,336,0,272,3
河北省,312,0,248,6
陕西省,245,0,187,1
新疆维吾尔自治区,76,0,30,2
天津市,135,0,91,3
贵州省,146,0,104,2
内蒙古自治区,75,0,35,0
海南省,168,0,124,5
辽宁省,121,0,88,1
山西省,133,0,102,0
吉林省,93,0,63,1
云南省,174,0,144,2
台湾,31,0,5,1
甘肃省,91,0,80,2
宁夏回族自治区,71,0,65,0
澳门,10,0,7,0
青海省,18,0,18,0
西藏自治区,1,0,1,0
